SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
1,9,California,State,0.967741935483871,0.963087720057096,0.9666666666666667,0.9666682777804629,0.9695340501792115,0.9681329235379923,0.9673558215451578,0.9621621621621622,0.9563318777292577,0.9519136408243376,0.9473684210526315,0.9422850412249706,0.9407407407407408,0.937007874015748,0.9415481027713983,0.9454905440006893,0.9501900380076015,0.9522292993630573,0.9516129032258065,0.9517998779743746,0.9499204886471946,0.9491916859122402,0.9487179487179487,0.9479553903345725,0.9483667017913593,0.9515859766277128,0.9584905660377359,0.966542750929368,0.975609756097561,0.98,0.9824937477670597,0.9846713432060276,0.984188447886415,0.9870250231696015,0.9891938070472565,0.9898341359015517,0.9948186528497409,1,1,1,1.0001919754271453,1.0002857959416975,1.0001149709352446,1,1,0.9914163090128756,0.984251968503937,0.9794553272814143,0.9761986892031735,0.9809964047252183,0.9857142857142858,0.9886956521739131,0.9894736842105263,0.9886162379157319,0.9864244666261764,0.9818181818181818,0.9777777777777777,0.9754754754754755,0.9728997289972899,0.9703196347031964,0.968937875751503,0.9754601226993865,0.9834710743801653,0.9885931558935361,0.9924242424242424,0.9924812030075187,0.9904829284552956,0.9886914378029079,0.9866666666666667,0.9833024118738405,0.9806451612903225,0.979484300237669,0.9777777777777777,0.982257906555657,0.9891086908201823,0.9940956741776118,0.9976593850578648,0.9964221824686941,0.9933887099508392,0.9894459102902374,0.9861133528531882,0.984188447886415,0.9824780976220275,0.9799833194328608,0.9799635701275046,0.9851851851851852,0.9922879177377892,1,1,1,1,0.9984997499583264,0.9922346850733391,0.9910313901345291,0.9900865699084043,0.9868447022229005,0.9863013698630136,0.993322203672788,1,1,1,1,0.9971509971509972,0.9899799599198397,0.9844559585492227,0.9797979797979798,0.974937343358396,0.9699570815450643,0.968503937007874,0.9752438109527382,0.9814432989690721,0.9861111111111112,0.9907621247113164
2,54,Texas,State,0.964832022873481,0.965819095477387,0.9752172553923101,0.9774088440651668,0.9813325794686181,0.9760212073743825,0.9660731538992409,0.9607169654022509,0.9635927185437088,0.9563787878787878,0.9475468688916425,0.9440968193638728,0.9394046822742474,0.9441186930428984,0.9512926233000375,0.9582339544513457,0.9596911764705882,0.9591022174148188,0.9547826086956521,0.9549874476987448,0.9549494124446156,0.949092228992703,0.9474558186062021,0.95264,0.9518421052631579,0.9639082304201829,0.9653061546310899,0.9692767808591626,0.9757592543777067,0.9778114285714286,0.9762180814354727,0.9754171428571429,0.9759908256880734,0.9704557299843014,0.9684060042887777,0.9700666666666666,0.9699114871120043,0.968847866419295,0.9762036492054149,0.9786421052631579,0.9800417206585237,0.9787878787878788,0.9765433204451252,0.9721226142278774,0.975,0.9701385912273182,0.964,0.9663698468786808,0.9635902185994812,0.9647172413793104,0.9681973864277602,0.9754889699751836,0.9777777777777777,0.9802360364571161,0.9772727272727273,0.976876015219141,0.9726877614111656,0.9661016949152542,0.9638389253021495,0.9703744192402296,0.9709007506255213,0.9742354241931,0.9777015437392796,0.9815173135085158,0.9873239436619718,0.999,0.9810467706013363,0.9801306840912122,0.9754749643729428,0.9702230215827338,0.9693558474046279,0.9636037735849057,0.9674170212765958,0.9713333333333334,0.9773128854809134,0.9823529411764705,0.9838709677419355,0.9838526315789474,0.9828571428571429,0.9799272727272728,0.974593837535014,0.9707317073170731,0.9661030515257629,0.9674029850746269,0.9666693518667696,0.969796238293353,0.9734513274336283,0.9772727272727273,0.9801960392078416,0.9789458890429433,0.9786421052631579,0.9740810348010733,0.9689922480620154,0.9682177436086321,0.9654827413706853,0.9644645161290323,0.9660919585687382,0.9688389993585632,0.9742351046698873,0.9811320754716981,0.9819089026915114,0.980002800008,0.9777777777777777,0.9721238532110091,0.9702613397416642,0.9654388940092166,0.9651484621155288,0.9626790697674419,0.9640498045944144,0.9703196347031964,0.9749944382647386,0.9807389868265738,0.9856733524355301
3,43,New York,State,0.9040247678018576,0.9037328094302554,0.9077431900428281,0.9192200557103064,0.9244992295839753,0.9340974212034384,0.9272997032640949,0.9254627313656828,0.9172347210438547,0.9190006379917701,0.9168241965973535,0.9122085048010974,0.9077733860342556,0.9057713651498336,0.907859078590786,0.9155937052932761,0.9230769230769231,0.9296482412060302,0.9316770186335404,0.9312320916905444,0.9234828496042217,0.9171762090050027,0.9085622104646724,0.9052924791086351,0.9006433166547534,0.8984764526382468,0.9011494252873563,0.9113924050632911,0.9197883597883598,0.9326424870466321,0.9368122535701413,0.9322419281491587,0.9331476323119777,0.9248062015503876,0.9191919191919192,0.919179630858463,0.9151549090402897,0.9174876847290641,0.9135802469135802,0.9268714555765596,0.937695353198583,0.9458221050796419,0.9499136442141624,0.9515103565417007,0.9477124183006536,0.9387755102040817,0.9375023437558594,0.9329017068864037,0.9306654257794323,0.9282735613010842,0.9317548746518106,0.9310344827586207,0.9431939978563773,0.950950950950951,0.9548347984237647,0.9538461538461539,0.9459459459459459,0.9413683598232954,0.9380777603488519,0.9333333333333333,0.9332803812549643,0.9304347826086956,0.92880978865406,0.9392438563327032,0.945763723150358,0.9540229885057471,0.9587020648967551,0.9573542210617929,0.9531772575250836,0.9474681545425835,0.9392812887236679,0.9386733416770964,0.9373354397051079,0.9396516808424463,0.9408194233687405,0.9446640316205533,0.9537514450867052,0.960880195599022,0.9650180940892642,0.9673115410273516,0.9604802401200601,0.9576505639497765,0.9559804357492219,0.952755905511811,0.9473684210526315,0.9498680738786279,0.9507640067911715,0.9572490706319703,0.9649122807017544,0.9707298999629492,0.9727148703956344,0.9718100532922909,0.9687735139202408,0.9655172413793104,0.9599332220367279,0.9585741088180113,0.9546451811151746,0.9531547860870653,0.9558188781422257,0.9623824451410659,0.9699954531676265,0.9761912509460522,0.9784591440158511,0.9741969457609269,0.9682847074510302,0.9636709422578541,0.9587328053355565,0.9531772575250836,0.9504752376188094,0.9473933524566436,0.9490333919156415,0.9547738693467337,0.9642857142857143
4,14,Florida,State,0.875,0.867244829886591,0.8726377996988968,0.8776371308016878,0.8813559322033898,0.8883910465632785,0.8985507246376812,0.9007506255212677,0.8939014202172096,0.8897185038592774,0.8893769616525932,0.8865979381443299,0.8955223880597015,0.8888888888888888,0.8848080133555927,0.883814641336266,0.8888888888888888,0.893495625713199,0.8974358974358975,0.9033672529162682,0.9085992428339643,0.9054527263631816,0.9090909090909091,0.9107468123861566,0.9090909090909091,0.9096422073984233,0.9131403118040089,0.9140264267333418,0.9202392622081741,0.9245283018867925,0.9285714285714286,0.9310344827586207,0.9302325581395349,0.9326512098532824,0.9320557491289199,0.9308510638297872,0.933955970647098,0.9314857582755967,0.9342560553633218,0.937251787132645,0.9395973154362416,0.9422492401215805,0.9454949944382648,0.9467455621301775,0.9463679380556352,0.9447236180904522,0.9428571428571428,0.9380863039399625,0.9344552701505757,0.9318181818181818,0.933955970647098,0.933852140077821,0.9361702127659575,0.942079553384508,0.9411764705882353,0.9414225941422594,0.94,0.939183987682833,0.938638403746707,0.9386733416770964,0.9361702127659575,0.9354838709677419,0.9410430839002267,0.9426829268292682,0.9459459459459459,0.9491525423728814,0.949748743718593,0.9483793517406963,0.9478672985781991,0.9473346195849873,0.9470233876683203,0.9471766848816029,0.9459459459459459,0.9453551912568307,0.9489612721210566,0.9501557632398754,0.952899613227763,0.9547864506627394,0.9561635775228008,0.9562740260950229,0.9545672198461996,0.9533333333333334,0.9523809523809523,0.950950950950951,0.9491525423728814,0.948936170212766,0.9505792887497204,0.9519038076152304,0.9545454545454546,0.9556962025316456,0.9559268027039434,0.9560867148415787,0.9557522123893806,0.9540889526542324,0.9545454545454546,0.954426294006697,0.9523809523809523,0.9528346831824679,0.9552238805970149,0.9565217391304348,0.9574468085106383,0.9597209696087474,0.9586776859504132,0.9576778496600322,0.9565217391304348,0.9543761638733705,0.9541062801932367,0.9513888888888888,0.9492537313432836,0.9486029665401863,0.9513534719497843,0.9521759829957672,0.9530201342281879
5,21,Illinois,State,0.8836278759586529,0.8828722778104767,0.8902926208651399,0.9,0.9076923076923077,0.91324200913242,0.9113642678521812,0.9083333333333333,0.9045419553502695,0.897196261682243,0.8892857142857142,0.88201864060013635,0.8783783783783784,0.8840700583819849,0.8851351351351351,0.887943971985993,0.9,0.9045226130653267,0.9051282051282051,0.9038300703059284,0.8931552587646077,0.8888888888888888,0.883578771881078,0.8833577354807223,0.8817684630344433,0.8791437728937729,0.89,0.8984615384615384,0.9148375219675355,0.9230769230769231,0.9230769230769231,0.9237875288683602,0.9227871939736346,0.9171786077714544,0.9171762090050027,0.9174311926605505,0.9118541033434651,0.9148665819567979,0.9203231854539569,0.9312245114537379,0.9418837675350702,0.9495548961424333,0.9514062637330443,0.9494736842105264,0.9483870967741935,0.9443671766342142,0.9363776295536173,0.935064935064935,0.932806324110672,0.9326251648587582,0.9318507593271098,0.9436781609195403,0.9506172839506173,0.9561635775228008,0.9532888465204957,0.9502515371716043,0.9433746512372502,0.9378907878282617,0.9318480613509696,0.9259259259259259,0.9218156984359781,0.9215376513954713,0.9277213881783699,0.9423532508554883,0.9518072289156626,0.9555555555555556,0.9526813880126183,0.9497716894977168,0.9428571428571428,0.9384615384615385,0.9345026034530008,0.9293196598299149,0.9255001149689583,0.9259259259259259,0.9378907878282617,0.9503167722574192,0.957573398445333,0.9603841536614646,0.9595959595959596,0.9560867148415787,0.9506790564689064,0.9458844929513415,0.9431352101556011,0.9377930603313536,0.933955970647098,0.9363688898376524,0.9475346552026671,0.9568480300187617,0.9636443276390714,0.9655172413793104,0.9636363636363636,0.959866220735786,0.9545454545454546,0.9510839204053887,0.9466666666666667,0.9433962264150944,0.938587410555374,0.9391304347826087,0.951948051948052,0.9636496706513784,0.9663686675180928,0.9683666881859264,0.9652736904061212,0.96,0.9551656920077972,0.9502969678024382,0.9450031500105001,0.9378907878282617,0.933955970647098,0.9379379379379379,0.9484536082474226,0.9609375,0.9663250366032211
6,47,Pennsylvania,State,0.9194805194805195,0.9169249863855593,0.9266123054114158,0.9357277882797732,0.9411764705882353,0.9438886472379295,0.9384615384615385,0.9333333333333333,0.9278757567780995,0.9221631759924976,0.9227294724955638,0.9122807017543859,0.9090909090909091,0.9027653910802174,0.9078319741498692,0.9130100076982294,0.9272727272727272,0.9298998569384835,0.9298850574712644,0.9237875288683602,0.9182389937106918,0.913158623265991,0.9083286752375629,0.9054325955734407,0.9014423076923077,0.9,0.9059540854557842,0.9167152751645382,0.9302325581395349,0.9360533239505555,0.9390632105502501,0.9351892127011744,0.9322033898305084,0.9283190041668864,0.9259259259259259,0.9247709362460852,0.9180342918619621,0.9186602870813397,0.9253322148680858,0.9340212632895559,0.9454949944382648,0.9523809523809523,0.9519042847599961,0.9481667181167286,0.9419869470630892,0.9365142857142857,0.9302325581395349,0.9293320425943853,0.9252912954078135,0.918,0.9290138161029061,0.9371709371709371,0.9464285714285714,0.9545940675455806,0.9538461538461539,0.948876404494382,0.9413369713506139,0.9360495100567303,0.9311827956989247,0.9262826557184799,0.9215167548500882,0.9179539123828817,0.9292351679771265,0.9399902423158237,0.9506916409105095,0.9564347826086956,0.9569377990430622,0.9523809523809523,0.9449311639549437,0.9433962264150944,0.9378907878282617,0.9360365296803653,0.9292351679771265,0.9279778393351801,0.9318181818181818,0.9479553903345725,0.9572649572649573,0.9636363636363636,0.9624641833810889,0.9583333333333334,0.9551243177683445,0.9518340125972582,0.9464575446187128,0.9430331023864511,0.9418236372728788,0.9359719737626715,0.9456066945606695,0.9586715867158672,0.9644677661169415,0.969991173874669,0.9681818181818181,0.9649122807017544,0.9615088529638183,0.9567610845433103,0.9537101651546871,0.9494846737980003,0.9466666666666667,0.9459459459459459,0.9523809523809523,0.9615384615384616,0.9715994020926756,0.9767289781272952,0.9741025641025641,0.9709126215004418,0.9658502932045533,0.96,0.9568168022844699,0.9517471382318077,0.9477009477009477,0.9471091370115753,0.9521531100478469,0.9649749821300929,0.9732441471571907
7,44,Ohio,State,0.8892756764539211,0.8946903751432731,0.9065821691459751,0.9179360892568246,0.9219301686936053,0.9244992295839753,0.9181850660950339,0.9111666666666667,0.9041939207387457,0.8947368421052632,0.8898776418242491,0.8948027139187142,0.8927141713370697,0.8930124673818498,0.8934953538241601,0.9003601440576231,0.9090909090909091,0.912677796655387,0.9148525764673464,0.9090909090909091,0.9051929490233445,0.9009009009009009,0.8974175771832245,0.8960573476702509,0.8880895180895181,0.8888888888888888,0.8997995991983968,0.91206855398772535,0.9244992295839753,0.9317098994176813,0.9302325581395349,0.9269662921348315,0.922427206045788,0.919732441471572,0.9171762090050027,0.9155937052932761,0.9159891598915989,0.9118050779097112,0.92,0.9322033898305084,0.9435125660000794,0.9479427142532394,0.9487179487179487,0.9435173299101413,0.9407001667063587,0.9334629962146137,0.9328434374362115,0.9237875288683602,0.923062124485749,0.9213973675252467,0.9351351351351351,0.9418837675350702,0.950792326939116,0.9563684442485677,0.9554777388694348,0.9485981308411215,0.9454645108248835,0.939183987682833,0.9375,0.9318346627991299,0.9292861612730199,0.9298747763864043,0.9399759903961584,0.9481481481481482,0.9571428571428572,0.9601081812035159,0.960359091444511,0.9554140127388535,0.9499874968742186,0.9459459459459459,0.9396651856773615,0.9345794392523364,0.9388145066943976,0.9343148357870895,0.9444444444444444,0.9554140127388535,0.9618473895582329,0.9680851063829787,0.9674418604651163,0.963302752293578,0.9585225939715027,0.9543355566957414,0.951993490642799,0.9478672985781991,0.945179584120983,0.9420289855072463,0.9555555555555556,0.9642857142857143,0.9692070823710547,0.9745060548119822,0.9741969457609269,0.9705709240729841,0.9661538461538461,0.9612817089452603,0.9565217391304348,0.9512195121951219,0.9506337558372249,0.9523809523809523,0.9633197480548351,0.9728692792545903,0.9772727272727273,0.9829059829059829,0.978921043229725,0.9735598393657074,0.9691912708600771,0.9629814907453726,0.9590475084238951,0.9534883720930233,0.9484536082474226,0.9512042492139565,0.9610198578082864,0.9702127659574468,0.98
8,30,Michigan,State,0.8860759493670886,0.8782657031684269,0.8927141713370697,0.8860759493670886,0.8915993190870477,0.9031909140075717,0.896774193548387,0.9034529797703663,0.8934953538241601,0.8924103419516264,0.8822055137844611,0.8858276546387082,0.8902691511387164,0.8894972362133782,0.8915763135946623,0.8939393939393939,0.9063164893617022,0.9111111111111111,0.9153194765204004,0.9130434782608695,0.9097801364670205,0.9090909090909091,0.9037037037037037,0.9071117561683599,0.9018036072144289,0.9022556390977443,0.9090909090909091,0.9171762090050027,0.9316060201943227,0.9438775510204082,0.943952802359882,0.9414225941422594,0.939183987682833,0.9349432794774837,0.9349858664927158,0.9318637274549099,0.9335324869305451,0.933955970647098,0.9375,0.9455926083981927,0.9522272433828276,0.959731543624161,0.9645383320148424,0.9591326105087573,0.9555555555555556,0.9479271991911021,0.9386733416770964,0.9354838709677419,0.92943654555028965,0.9293019119608715,0.9297485857950974,0.9412550066755674,0.9543117849289369,0.9607686148919136,0.9613899613899614,0.9561200923787528,0.9529273315681083,0.9422850412249706,0.9359251259899208,0.9326867076485807,0.9320695102685624,0.9235505387378142,0.9347826086956522,0.9466698222432595,0.9588660366870484,0.9633197480548351,0.9635332013357369,0.9586114819759679,0.9519038076152304,0.9467061143984221,0.9402985074626866,0.9378292939936775,0.9345794392523364,0.9344978165938864,0.9426911840081295,0.955831608005521,0.9649013157894737,0.9696969696969697,0.9714285714285714,0.9673115410273516,0.9622222222222222,0.9554777388694348,0.9515859766277128,0.9491786313711508,0.9426557158232525,0.9453868801432652,0.9532888465204957,0.9666666666666667,0.9748589020010262,0.9802867383512545,0.9799498746867168,0.972972972972973,0.9688581314878892,0.9612817089452603,0.9556313993174061,0.9531772575250836,0.9512195121951219,0.9507042253521126,0.9607686148919136,0.9739130434782609,0.9830508474576272,0.9850026664157099,0.9831072514929018,0.9767441860465116,0.9688581314878892,0.9610038659628302,0.9554140127388535,0.9493087557603687,0.9460216599294423,0.9481743227326266,0.9573542210617929,0.9663250366032211,0.9763313609467456
9,16,Georgia,State,0.8767650834403081,0.8817635270541082,0.8828722778104767,0.8937305469097376,0.8993033565547816,0.9076305220883534,0.9057616947391667,0.9009009009009009,0.8918918918918919,0.8931761343336906,0.8775008775008775,0.8754377188594297,0.8711111111111111,0.860375415282392,0.878769507747986,0.8775981524249422,0.8951965065502183,0.8974358974358975,0.8936083391498088,0.8931851851851852,0.8863636363636364,0.886685552407932,0.896551724137931,0.8946830265848671,0.8998998998998999,0.8923076923076924,0.9090909090909091,0.92,0.9283135636926251,0.9308176100628931,0.933457794372583,0.9340963855421687,0.933955970647098,0.9380863039399625,0.9375,0.9380913760475804,0.9378344059171798,0.943435294117647,0.9476177941563569,0.952253934382502,0.9559748427672956,0.9573542210617929,0.95625,0.955501897205933,0.9519615384615384,0.9503655252020008,0.9463414634146341,0.9444444444444444,0.9420883249668935,0.9431826694104349,0.9496074955684983,0.9560434782608696,0.9585551281692536,0.9608938547486033,0.9578947368421052,0.950950950950951,0.9491733006736068,0.9463414634146341,0.9428571428571428,0.9428571428571428,0.9409090909090909,0.9444135630906059,0.9550561797752809,0.9591326105087573,0.9655492690968457,0.9653916211293261,0.9629629629629629,0.9593623007189747,0.9549003161494289,0.9526315789473684,0.9500073077485212,0.9493028336438989,0.9487179487179487,0.9538461538461539,0.9612625538020086,0.967741935483871,0.9727272727272728,0.9734513274336283,0.9719839908519153,0.9690307534359351,0.965700962456252,0.9642404628446811,0.9628571428571429,0.9603841536614646,0.9611650485436893,0.9622641509433962,0.9711143667736384,0.9745533297238765,0.977702382290969,0.9773182121414277,0.975609756097561,0.9722222222222222,0.9705488621151271,0.9678379988088148,0.967741935483871,0.967391304347826,0.9673115410273516,0.9720670391061452,0.9764840432241517,0.9823008849557522,0.9839593634348104,0.9824707846410684,0.9812782440284055,0.9768014059753954,0.9731833039979885,0.9695290858725761,0.9687526789541363,0.9674780012518116,0.9640287769784173,0.9685714285714285,0.9748427672955975,0.9771986970684039,0.98
10,36,North Carolina,State,0.9045330864409584,0.9098635409377187,0.9206137424949966,0.9247104247104247,0.9323529411764706,0.9295539808253439,0.9254627313656828,0.9212803306649403,0.9118719849394047,0.9118294895050532,0.9056244041944709,0.9005002779321846,0.896551724137931,0.8962067528136723,0.9024390243902439,0.9209302325581395,0.92,0.9263157894736842,0.9188648581072634,0.9162790697674419,0.9113847197075087,0.9090909090909091,0.9045226130653267,0.9045226130653267,0.9040385327899222,0.9037037037037037,0.9181969949916527,0.9233305853256389,0.9365079365079365,0.9393939393939394,0.9357142857142857,0.9333364444548149,0.9302325581395349,0.9292351679771265,0.9285714285714286,0.9245901639344263,0.9273972602739726,0.9302325581395349,0.94,0.946969696969697,0.9523809523809523,0.9554140127388535,0.9526462395543176,0.9525880817746847,0.9486607142857143,0.9433962264150944,0.9444444444444444,0.9385421629347308,0.9389473684210526,0.938126307620301,0.9467929057207628,0.9527622097678142,0.9591397849462365,0.96,0.9568345323741008,0.9554140127388535,0.9495135055084643,0.9464575446187128,0.9468417553191489,0.9437660069184137,0.9430331023864511,0.9413262133525151,0.9531502423263328,0.9583333333333334,0.9648690709384351,0.9636363636363636,0.9619047619047619,0.9599636032757052,0.9566265060240964,0.9529411764705882,0.9527272727272728,0.95016134815346,0.9502539737140072,0.9548347984237647,0.9612903225806452,0.968255505169908,0.9725526075022873,0.972972972972973,0.9719919954259577,0.9688365650969529,0.9666666666666667,0.964968152866242,0.9629492404594294,0.9629925643032924,0.9618824579011933,0.963855421686747,0.9714285714285714,0.9769230769230769,0.978319783197832,0.9793103448275862,0.9788359788359788,0.9767718880285885,0.9725767506036564,0.9701492537313433,0.96875,0.967741935483871,0.9654934437543133,0.9695652173913043,0.9786535303776683,0.9801960392078416,0.9830361026533275,0.9822222222222222,0.98,0.9761904761904762,0.9755838090731818,0.970873786407767,0.9702702702702702,0.9698613622664256,0.9664804469273743,0.9706158174429509,0.9757575757575757,0.9809523809523809,0.9826856483262794
