RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
18172,Fort Worth,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178600,179800,179900,180400,182500,183800,184600,185e3,187200,187900,189500,189500,190800,190700,192700,195e3,196200,197400,196800,199300,201500,204600,205e3,205600,209600,213200,215100,208500,210500,210800,214600,212200,214200,214e3,
7481,Tucson,Arizona,12,194500,193e3,193100,184700,180300,175400,175e3,171500,168400,166900,162600,161400,154400,153400,150600,149800,149500,149e3,152900,150500,151600,147700,150700,146800,147100,145800,145500,140400,137e3,135500,137800,133900,131100,127600,126900,125400,122600,120900,118700,116200,113200,112200,112e3,11e4,111600,113400,119300,118300,119300,121e3,124e3,126700,125700,131800,135e3,136100,134800,143400,149300,149200,141e3,140800,143e3,147300,147400,149e3,146600,146500,148200,151100,152300,150800,153200,153300,153400,150800,151400,151800,151800,151800,148500,145300,142800,144e3,147600,148100,149800,147200,148e3,147200,148900,151300,152700,155e3,154800,157700,158100,159800,160200,162100,162500,164300,164400,163700,164200,165100,169300,171100,171200,171100,171100,172700,169300,167500,172200,173400,179200,179800,187e3,189600,19e4,194800,194900,194300,189300,187500,188700,189900,192500,192100,195300,194e3,196700
10920,Columbus,Ohio,13,115700,11e4,112300,110200,109700,105400,102900,100600,96300,90800,93e3,91900,91400,87600,90600,97600,104300,109600,113600,116900,117900,111600,100800,99900,101600,103200,101300,104e3,99e3,89200,77300,79500,81400,88100,86300,82e3,75600,75e3,75100,78300,80700,88300,87700,85800,82700,85400,86500,83800,82700,86800,97100,103500,108600,107500,106600,104400,102600,98900,104400,102200,102500,94300,98800,104700,110900,115100,113e3,108600,107200,107e3,110200,110500,112500,115500,116300,120900,121100,122300,119900,122800,123500,124600,120400,144400,144300,145300,123100,123700,123600,122300,121600,121600,120900,119400,120400,125500,13e4,132400,131600,131200,132800,134800,138500,142e3,144400,147300,150300,149300,147e3,141900,140600,140100,142e3,145e3,146400,147400,148e3,151100,154600,158100,155700,151100,145500,146e3,147500,150300,151e3,152700,155100,158300,160700,163600,166400
13121,Orlando,Florida,14,219300,217500,206600,200900,193400,193e3,186100,180700,176e3,169800,162300,152900,138900,124700,109200,103e3,99200,100700,99100,103e3,103300,108200,99e3,94400,89900,91100,92500,89300,88900,85500,83800,84400,84e3,81700,77900,75700,80100,84500,88600,89e3,89800,88200,89600,89100,103200,104600,106e3,98700,99600,98800,97600,102800,108300,112400,108600,11e4,110800,115300,121100,126300,130500,129300,128400,127300,129900,136200,141900,142500,145e3,144600,144500,141600,142200,148e3,155300,155100,153600,148400,149100,150700,150600,149600,149e3,153200,157100,160100,159500,162400,163200,166200,169900,173200,175300,175200,176300,176300,178100,179300,183900,186600,188200,186200,186e3,186800,190700,191400,193800,191900,193100,194500,197800,200900,202700,202900,200200,200700,201100,205500,208800,220800,227700,235600,234200,238500,237600,235500,232800,233300,239900,245600,247100,251e3,250500
17933,El Paso,Texas,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122600,122e3,128500,132e3,133400,134600,135900,137200,132100,131500,131300,13e4,131200,132300,134600,134400,131100,129800,130500,130700,130600,128300,129300,129500,129500,132900,131400,131500,127900,128700,128100,127500,127e3,127900,127800,129200,130600,131200,131600,130600,128700,128900,128100,129e3,130800,130300,131200,130200,129300,128900,128500,130800,134900,135800,137700,136200,137900,139200,138e3,137400,134800,135800,138800,138800,140300,139e3,139800,14e4,139800,142400,144100,142600,141300,140200,140800,142400,141300,145100,146700,146800,146100,146600
11093,Denver,Colorado,16,189200,186400,179400,170400,168600,171700,170800,167800,160100,154500,145100,143800,146200,156300,163800,173700,178800,186e3,190500,197700,201200,199600,194800,2e5,198400,196200,189600,191800,201900,202300,206300,208100,209300,211900,204200,206600,199600,201600,200400,204900,206100,206400,207100,209800,211700,212900,212700,208e3,207900,206500,215e3,225200,237900,244300,248200,248200,254200,253e3,249700,244500,244800,253e3,257200,258900,259200,260800,268100,272900,271100,261500,255500,254700,258100,257500,263100,265100,270400,269300,271500,273100,276700,281500,284700,293400,301600,306600,306400,303400,303700,303700,306700,309700,316800,318900,327e3,326900,331500,330200,331e3,332200,337900,342500,345900,346800,351e3,358300,358700,360600,356900,362500,361900,366900,366900,377200,382700,393800,395100,399600,405e3,418400,419800,416200,410700,412900,412700,409e3,416800,419400,423300,418300,416400,416500,415300
16037,Seattle,Washington,17,409900,410300,411600,409600,401400,397400,397200,399900,395800,401e3,400700,396500,377e3,361500,356800,357900,361e3,364600,369600,377500,372400,377100,380500,386200,383100,376400,376800,370900,375300,384300,397800,392300,384300,379700,387100,388e3,380400,372700,363100,356300,357200,360700,368600,361500,356700,350700,346500,347100,350700,369300,380500,382900,378500,379100,385800,390400,394800,399600,395800,396800,400900,406200,409100,403900,408600,410300,418300,420900,425800,424700,427300,424700,418100,413300,415800,424700,429700,428300,433700,439200,438700,439700,436600,441500,439900,452600,459200,469500,462900,475400,476100,484200,487200,504700,514300,516e3,513500,519500,525900,533800,526800,527800,528500,545200,556300,563200,571900,580900,591700,599500,604800,613200,626700,639200,646800,649e3,652400,661100,678100,696e3,703600,711300,716100,710500,699500,69e4,699500,702700,703100,697700,682200,677600,675300
32811,Memphis,Tennessee,18,73100,71800,66800,64900,62600,62e3,61100,6e4,56400,53e3,52500,56e3,55700,53500,46900,48100,48600,55300,59400,61800,64300,64200,63300,59300,55100,58e3,58400,60600,55600,53800,51200,50700,55100,59400,63200,64600,61800,56800,49900,48800,49600,50700,55e3,57500,56800,57400,57100,60300,56400,56200,54200,53400,53700,55400,57900,60600,61e3,64800,67800,70900,70300,67500,64800,66e3,70200,71600,71800,71400,71400,71900,71700,77400,81500,80800,79400,76200,85800,84700,85800,86e3,87400,91200,84300,86400,85500,87600,85200,85600,84600,88400,88800,88800,86e3,84200,84400,84800,84e3,87500,90300,94500,93400,93e3,90600,90800,92800,94e3,94200,94100,94700,96500,98300,98e3,97200,97700,101100,102600,105900,106300,109400,107500,103800,101200,101300,105100,104600,102100,99100,97400,96500,96100,93e3,98400,
44269,Boston,Massachusetts,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390900,393900,391e3,386700,393300,397300,399400,396600,397900,415300,415800,420700,409900,416500,420900,425e3,434900,436800,444500,444300,442600,443300,440500,446200,448e3,447800,443600,442300,442300,450600,454500,464200,480200,488800,487900,485500,484e3,491700,496e3,503900,509e3,513600,511800,507e3,503700,503900,517200,515300,538400,543100,553900,546200,535600,531e3,527400,550100,556500,560100,560900,564100,570700,565e3,565300,566900,576300,584200,594e3,582400,605500,595e3,620100,607400,627500,623800,628300,627400,620900,631600,627100,632200,626600,
41568,Washington,District of Columbia,20,393200,392400,389900,388e3,394700,388800,394e3,376900,380500,368300,371300,365300,367300,368600,366100,367400,362700,359300,359600,351900,356600,35e4,364100,353400,344700,338100,347100,347200,345800,362400,382800,384800,385300,390200,407800,390100,377800,360700,359700,366200,360500,368600,371200,378700,374400,373900,374400,375200,364400,365100,378600,388800,397100,400500,411900,416700,418e3,424200,434200,448e3,440900,441600,433200,436100,438800,442100,457800,452700,457600,452300,455800,450800,452300,457900,467800,470800,476400,475e3,472900,473600,479200,477100,485200,481700,494100,491e3,495400,497700,492e3,495500,494500,499600,498600,501500,497800,510400,507100,513300,508300,503700,506600,512400,523600,534500,531100,532100,535400,536200,544400,536200,533900,535100,535800,529500,522100,518900,516600,515300,512400,519300,518500,527700,529300,521100,521900,517600,519800,521100,537900,545200,548e3,548100,
