RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
251,Mesa County,Colorado,365,222500,222300,220800,219300,215e3,217100,211700,215e3,207200,208900,216800,224900,228400,223700,222e3,215400,204500,197e3,198e3,197700,194500,197400,200500,207700,203300,198600,189700,183500,183100,184800,182300,177800,166700,171400,174600,180800,175900,169700,163400,154900,152200,150900,152500,154300,154200,157300,156900,160400,163600,167500,177300,172600,171700,167700,172200,169600,163300,165100,168300,174800,172e3,173800,170200,175300,174500,176600,172100,170300,170800,176400,176300,179500,173600,176800,178500,181e3,183600,180300,179700,180100,184500,186700,185800,180800,183400,183300,186500,181300,185900,19e4,198900,196400,195500,192700,197e3,195900,197700,195500,197600,200300,199900,202200,198900,205700,204e3,205300,202800,206100,215e3,215100,217500,209800,210400,209700,215300,218800,213100,214200,219e3,231300,233100,236600,239100,237700,231e3,230500,232300,235300,229700,234500,243900,253900,260200,254200,252100,247200
1607,Charles County,Maryland,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230700,235400,241500,248600,244600,243400,241400,246700,243300,244400,244800,246600,246200,248500,253800,255100,257600,258700,255500,258600,259800,263700,262300,263400,267200,266700,265900,271600,277400,277400,275100,272500,277e3,281100,282500,282700,281500,279900,276800,274500,280800,287900,291e3,287300,288900,290200
2799,Merrimack County,New Hampshire,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227600,232500,225400,226600,227100,234600,235700,246700,247100,251200,245e3,240900,239200,238400,241700,241200,239200,242800,238300,250400,244200,253200,244700,247400,248300
1176,Martin County,Florida,368,220800,224800,229700,224600,215200,224200,236900,232100,215100,203700,189500,178500,170300,176500,172700,160100,154800,155e3,165700,174400,176800,177400,172800,173900,156400,155200,154e3,160700,166200,154200,162700,155900,166300,157400,149300,144200,142400,144400,145800,144900,149200,147600,149200,143500,154700,164600,167300,160700,153100,149500,152500,152800,167700,161300,161500,152600,154100,161100,167600,175700,175300,176300,176300,175600,176800,178200,178800,179300,183100,193400,195200,193600,184100,185300,181700,198200,199500,209600,196900,200300,192300,192600,195600,199600,199900,197e3,196700,201900,206800,210600,211400,212300,222200,225100,230900,229700,235700,239800,245600,242100,240500,226200,231600,234900,247500,248300,234e3,237200,233100,244100,245300,250400,253500,250300,260900,259600,254800,246500,246500,249400,251700,259200,265200,260700,262400,256400,260500,258700,272800,275800,271800,276e3,276400,282200,276500,
2695,Fairfield County,Ohio,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173900,174100,169400,170300,163e3,165700,165100,173700,176800,175800,194400,196600,199400,178100,177500,176900,178100,179500,179400,180700,182800,184200,197600,198600,216400,209300,212e3,205700,208500
2722,Hendricks County,Indiana,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166600,166700,162900,165500,165e3,169400,166100,162700,160400,161300,164900,168200,169800,171700,169900,168800,167500,171400,175200,175500,173700,173300,177200,178e3,178500,177500,179300,179600,180700,181100,182200,188200,190800,193e3,190300,191e3,190800,189100,190300,192400,194900,193600,199600,202100,208200,201900,200800,199200,205800
2470,Paulding County,Georgia,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75e3,75500,76300,77700,75400,76100,80100,81800,80200,77400,77500,78500,81200,87800,96100,99700,100500,101600,100500,100900,95500,101400,103700,107e3,108600,108500,111100,111600,110500,112e3,114600,120600,124100,124200,122900,122900,122900,124100,127900,125700,13e4,125100,142200,141e3,144800,129900,132800,134500,138200,138700,141400,140600,139800,138100,140200,141200,144e3,140400,141100,142700,145900,151600,148200,151500,147600,153200,153900,157200,154500,156300,156600,159900,158700,159900,160700,166500,170800,173400,173800,172300,172300,172300,171500,175500,173900,182800,181800,186500,183500,182300,181500,183200,
2495,Randolph County,North Carolina,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110500,109900,112300,115500,114400,113300,110400,108100,103400,106100,111800,113600,111100,107400,109700,107900,109e3,113500,116800,119600,116200,118100,117600,111200,112300,111600,115700,112900,115400,118500,124200,125100,126300,125500,120500,120600,119300,126e3,125600,128200,124e3,115500,111600,115200,128200,127600,125700,126400,131e3,132e3,122900,121700,124800,130900,133700,135e3,137300,135300,131200,137300,139700,139500,136900,138400,143e3,137700,140500
938,Citrus County,Florida,373,142400,139100,144700,138e3,133400,125e3,123e3,127100,124200,122600,112700,109200,107200,107700,108700,106e3,103100,100500,100200,98200,96200,102100,109300,110900,104300,97700,99800,98800,94700,82700,81800,82200,87500,87400,84700,87100,85300,85500,80600,80500,79400,81500,79800,82700,81400,83300,83600,85500,84200,83800,82e3,85700,87400,89300,87900,85100,80400,86e3,86900,93300,89800,93600,90100,91100,90600,97100,97300,97e3,97e3,97100,93e3,88e3,87600,92600,97900,96500,97400,94600,96500,96600,95800,95700,95600,97e3,98300,98900,99600,100300,101300,104700,104400,106800,106800,109400,109600,115700,118200,119700,116e3,117700,115e3,114300,114200,116600,120300,121300,125600,125600,126800,127300,129700,131200,132100,127700,131800,132800,137800,137300,138100,140300,142400,142700,141600,137e3,137600,137e3,134900,134400,139800,145900,149700,149600,153200,159300,159400,159300
3253,Alexandria City,Virginia,374,411400,405600,393100,393500,393100,390700,380200,378900,383600,376200,376600,361500,363e3,372e3,378300,381100,391400,408700,419400,399e3,390800,379500,388700,397200,395800,398900,392900,403600,408400,410600,421800,424100,428600,409100,403400,405700,413700,408300,424100,428200,453e3,443700,460500,437300,445200,427700,444400,437200,432500,424400,436400,443300,448e3,448400,466600,456600,443200,43e4,445e3,451300,476700,476900,481100,464100,459300,460600,464800,475200,472100,475e3,467700,461800,461500,459900,462300,454300,462300,46e4,452700,446900,457900,459800,472900,485e3,494800,482800,472900,473900,459200,471100,467900,479600,491400,499e3,497300,465400,453700,461600,472200,480400,488100,475800,45e4,449700,459300,489700,464400,459e3,448200,477500,470500,485400,481600,495200,502e3,479900,473500,459800,500300,520600,531500,521700,516300,519500,517500,507100,497600,492300,499e3,501e3,488800,505500,515900,545500,504600,
