RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
72480,33178,Florida,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305e3,303e3,287700,294600,290400,304100,292300,290500,282800,285900,293200,292800,294800,293100,297800,296600,299600,317200,324100,323700,319200,315700,320300,322200,330500,328800,325700,311100,3e5,289700,304700,320700,325200,322200,308500,314100,312700,326700,329800,336800,333e3,331400,327300,332300,330600,329400,33e4,326600,320300,
70891,30114,Georgia,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135200,134400,133200,136e3,136300,142800,138900,142900,137700,140900,136e3,137100,146800,154500,162300,162400,164300,163100,159500,164400,171800,179400,180100,176900,180300,175e3,175500,171600,179e3,181700,185e3,179900,174800,172700,176200,179300,184200,188900,190600,190700,195700,200400,198600,198900,211500,217200,206100,193800,189800,199900,200500,206e3,203200,205300,206900,205300,207800,206e3,209600,208200,209e3,208200,207400,206100,205300,207500,213e3,219200,219100,220300,226100,234700,235e3,238600,248800,260100,262600,256500,250300,244300,239600,242300,246200,242400,243400,247100,251e3,257800,258700,265700,
97075,92882,California,480,409900,390500,386700,351100,339900,308600,301400,295700,306500,293700,284300,261200,257800,246600,241e3,233700,235500,230700,257500,270300,284800,276700,269500,288500,279500,282100,265300,263700,267300,265900,282600,276900,281700,272400,277e3,271300,269e3,264900,275500,269500,272800,262400,282300,278400,277200,258600,250700,257500,275900,292600,294900,280900,275700,264600,284700,293200,308400,304600,318800,329100,337100,339e3,344200,347800,349400,352900,352800,358300,373e3,395700,401e3,390100,374700,370800,373800,378e3,380900,391700,393400,400700,394600,394300,381300,381700,393300,398e3,416800,409300,415200,397e3,408900,409800,409100,396500,396600,410800,418100,422900,419800,421500,426700,422700,425600,415500,418900,423100,413600,413900,408600,434700,437800,431800,427100,416800,431200,434500,463200,453100,460700,459400,477300,471100,477600,471e3,474800,466700,,,,,,,
97506,94015,California,481,601e3,563300,577600,580700,578400,553500,542600,535100,527e3,516e3,511300,513300,509100,506700,486700,484400,484300,508700,530500,529400,524e3,513900,498700,504600,511900,528300,536300,529500,529400,518800,507500,513200,503300,495300,485100,478200,479300,464e3,461800,462500,469100,458900,432900,424800,432700,452600,452e3,439100,433500,423100,441700,448100,456300,462e3,491600,534e3,542400,539200,546e3,567200,594500,587600,591700,576e3,594500,601800,616100,605200,596e3,595200,614600,635200,654700,660100,668e3,671200,671200,651800,642600,651800,676700,684200,654300,680800,677700,701500,669400,690700,715600,737300,752700,762800,763400,762500,765500,749500,746800,758e3,801300,802700,795600,793900,798700,805300,808900,812100,810100,816800,825500,849600,847800,870600,859700,879100,831700,852800,873700,960300,1041e3,1012100,1041200,963700,1049300,1010900,1021800,970400,962700,963100,957300,996300,997500,991e3,
92575,78640,Texas,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146800,146700,149800,157e3,157500,160200,152800,157200,157300,161500,161800,166300,166100,167400,168100,169e3,172400,174200,175300,174400,172900,175700,174100,177100,190500,193500,194300,183400,184600,183300,186600,186400,193500,193700,194e3,189500,192100,195500,198300,197700,197600,199800,201200,202900,203500,202600,204800,205300,204700,201400,200500,205800,209300,210200,210800,212900,214800,211400,209700,215e3,222100,221400,215600,211600,213800,218900,218200,218700,215600,
99638,98225,Washington,483,261e3,259400,262700,262600,258e3,252900,232100,235300,251800,268400,250500,243800,240400,254e3,247e3,253700,260300,277200,261500,258600,259800,269900,296400,271200,277700,255300,275800,271100,257500,256100,261e3,265400,260300,268700,301200,293100,274200,250300,255800,246e3,263900,268100,283500,257100,259e3,252500,297800,283200,278700,254600,269700,271e3,263200,259700,262700,259e3,266900,272900,284400,278600,272400,258900,254300,254e3,249800,250100,255100,257400,281400,279800,278200,260700,263400,266800,269200,275300,274300,273800,257200,262900,262100,273300,274200,276800,276600,273900,272600,276500,286400,285800,283100,277400,283300,299400,305900,303900,308300,303100,313500,310400,320500,325600,328300,326900,328100,335900,342200,347700,350800,338400,340400,339300,354900,360800,364800,366800,364500,358200,385e3,378e3,380900,367e3,373700,389400,388500,410100,410800,412500,408700,408200,428400,437100,397700
94927,85351,Arizona,484,136500,133e3,131e3,133200,132500,130200,128e3,128900,125500,118400,114e3,113e3,110300,108500,106e3,105200,99700,98400,98800,95100,94e3,94e3,98e3,98200,95400,98300,96400,95e3,89400,85600,84700,81800,82300,80300,82800,81700,81700,78100,78900,76500,76100,70100,69400,66400,69100,69400,72700,73100,70400,69e3,72600,76e3,76300,75600,77500,83100,84e3,82900,8e4,80100,83800,84400,87e3,87900,94500,94900,93400,89700,95e3,97e3,103e3,101900,104500,101300,102e3,103300,99100,98400,95800,103300,105300,111800,112400,114100,111300,111600,110200,113700,115400,117200,116900,116800,117400,115300,116800,117700,122900,124e3,125200,125300,124900,120200,123800,123200,130800,130700,134e3,136e3,135800,138700,138600,138800,139300,142700,146100,148700,149e3,149800,15e4,148300,145500,145400,147600,149900,154e3,153700,156500,157400,160200,165e3,165100,164300,162400
67600,23225,Virginia,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143600,149200,163500,179600,173700,167200,165100,153800,138500,139300,160200,178800,172100,172e3,172100,173700,175900,178200,205500,194600,185900,155600,162100,171800,169300,166800,166700,164900,158300,161500,167600,186100,189200,188200,187600,179800,182100,185700,177500,178800,174500,167e3,176800,172400,201500,194800,203300,197200,199700,202800,212e3,228600,226600,218100,204800,223900,219500,217100,207800,217e3,222e3,216300,207800,200800,198300,194900,193100,193400,193300,207e3,211400,227900,222800,215500,207e3,203600,214500,215700,239700,236300,
73181,34698,Florida,486,165300,162700,162300,154e3,155600,156e3,162e3,165800,165e3,162700,154700,153400,146900,149500,151200,144200,143e3,127900,127400,122100,139900,142800,145800,147500,153700,149900,142300,141400,138e3,139600,144500,142900,143700,126300,134100,144700,14e4,132400,108500,115100,111100,109800,111700,107900,114100,113800,128800,130600,128900,125400,126900,138100,138300,140600,118700,132800,128600,139100,125300,129600,132200,133600,133e3,136100,140400,149300,152700,148900,150800,149800,147800,144900,142e3,144800,147e3,152600,146900,141900,146300,161400,161500,155100,150500,153200,159700,163900,164200,167700,170200,181300,171900,168200,161300,168600,179500,188200,193500,187700,186800,185900,189200,185400,182e3,182800,191800,201500,200600,216100,221200,228400,215700,209500,208600,204800,216900,223400,23e4,236300,243400,238800,234500,231700,239800,239300,233900,238800,241500,248e3,247600,239900,255300,270600,
96861,92399,California,487,320200,305100,293e3,291400,280400,279400,274800,274700,263300,239700,233300,209300,212700,208600,220800,220100,216800,218400,219500,210800,204300,196200,204800,205e3,204400,197500,201100,194800,183200,190300,202400,215500,208200,197500,211700,205600,210100,195400,194e3,194200,200900,211100,204400,198500,188200,191400,189100,179900,177400,172800,185100,187800,191600,195900,206100,202200,204500,2e5,213600,214600,237800,241700,259800,245300,251400,246900,252200,257800,257600,263500,264e3,287200,299700,300400,278300,265500,258e3,259900,265e3,274e3,284e3,282800,284600,280900,285e3,288600,290100,297900,304800,315300,310200,304700,304500,307400,310800,292100,291100,292500,312600,315900,318500,317e3,319e3,317900,310900,311300,319200,332500,340100,337200,341400,341600,343e3,332700,336500,343400,353e3,355800,347900,357500,350800,363800,364e3,375200,378800,384100,384100,380600,363600,355500,351500,363e3,368e3
