RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
40,New Jersey,11,334200,333800,326300,312600,305700,300900,298500,297300,299800,300300,296700,294700,297e3,295700,289900,280900,277900,275500,272800,274200,275800,276800,278e3,281200,288500,289700,285500,280100,277100,277e3,273700,272700,273700,278200,279400,280500,280200,279900,276200,273500,272400,27e4,266100,261400,257900,257e3,256100,258400,263e3,267600,267800,266500,265e3,265600,262400,261800,262e3,263100,264e3,264700,266e3,266800,268200,270700,272600,275500,275300,277300,275700,277500,278300,279300,284900,284e3,283800,278200,279300,280700,277100,274400,272900,276500,278200,278e3,278e3,279700,279800,279800,276100,274e3,271900,272600,274500,272100,270500,27e4,272500,270900,268400,267100,270600,273300,276600,276500,276500,279700,277900,278900,273400,273600,271700,268900,265200,263300,265700,268200,269400,270100,272800,273700,275400,277500,279400,279500,276300,275200,272400,272400,272300,275200,279200,283800,287700,290900,295400,
56,Virginia,12,247700,244500,237400,232400,231400,231600,232e3,229800,225600,219700,217200,218500,218700,216300,212700,211900,214e3,218800,224200,227700,226200,225700,226400,228700,228e3,224900,220300,217100,220500,227200,232700,231600,229400,228800,225600,222600,215700,212700,208300,207700,212500,217700,222300,217300,214100,211600,212500,212600,214500,219300,224400,227400,229700,231300,235800,236e3,241100,238600,239e3,233400,233500,233900,237900,244300,245500,248100,245800,248200,245500,243100,239200,238100,238200,240200,239800,241100,240700,242500,241800,243300,243200,245800,245e3,247200,246400,247800,248e3,247200,247600,246200,246300,244900,241600,241400,242400,244400,243600,243600,244e3,245200,246200,246800,247300,249e3,250400,250400,250900,252200,251500,251500,251100,253700,255500,254900,254600,252400,254100,254600,258200,26e4,262300,262400,261900,262900,261800,260600,260300,260500,262800,262800,266500,268900,269700,269100,268300,
59,Washington,13,283700,277100,269700,262e3,258100,256500,255e3,254200,252400,254400,256100,258900,254400,248500,239300,237100,234800,236500,237700,239600,238700,240100,244600,248800,248500,243400,239300,234e3,237200,238600,241500,237e3,235300,237500,238400,239900,235100,230500,223500,217800,214300,213200,213400,212500,211300,213e3,212900,211400,208100,212200,217100,224e3,224900,227500,229400,233100,236400,239500,239400,238700,239e3,242100,244900,245900,247200,249200,250100,249600,248100,247600,247900,248900,249200,249200,249700,251200,254400,255900,257600,258400,257900,257900,259300,262700,265200,268100,271800,273300,272600,271e3,272100,274800,277100,281200,283500,284300,285400,286e3,289300,290900,293400,295600,297100,298900,300900,303200,307800,309100,311300,311600,314400,317500,319e3,320700,323e3,326500,330900,334700,337600,343e3,348300,352500,352200,349300,346500,343400,343900,344900,348e3,350600,357e3,364600,368400,370100,370600,372200
26,Massachusetts,14,314400,309400,297700,291700,288200,288200,285400,284e3,275600,269700,262300,266100,265e3,266700,262900,266600,269900,275100,276700,276700,271200,275300,278900,288800,288200,288100,281700,282700,284800,291600,289900,288e3,285400,284100,275400,265800,259e3,262400,270600,280500,286200,286400,284700,28e4,275100,270500,267500,269600,272100,276200,277600,283300,288400,287700,283e3,279500,280700,283900,276900,28e4,280100,292e3,292500,297900,301200,304800,305500,302400,298300,295500,300600,312400,318800,319600,318700,319e3,320900,319500,317600,316600,315500,318400,321200,331100,332300,329200,321700,320300,323300,325300,325800,326500,325500,327600,327300,328400,326900,328600,328300,329900,330500,332200,333400,334700,336800,337200,339500,342e3,344500,345100,345200,347e3,348200,348100,350100,352900,356400,356900,357200,366800,369600,373700,368400,370800,370500,370500,368300,368500,370500,369e3,369400,378500,387700,389500,383500,382500
22,Indiana,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125800,129400,130700,131600,130300,128900,127e3,126e3,119200,114500,110700,114100,116600,120500,123100,124800,126700,128e3,129100,129400,128900,129100,129400,131e3,132900,135e3,135400,134600,133100,131800,132800,133300,134800,135800,135600,136400,135600,135900,136600,137900,139100,139700,139400,139700,140700,142100,142300,141800,141700,142600,142700,143100,142700,143500,144400,145800,147900,148500,149800,150200,151100,150700,150600,151400,152700,152900,153200,153100,154700,156900,159800,161400,162400,
8,Arizona,16,222e3,213700,205200,198900,193500,188600,181600,174800,166300,157400,148100,140500,133800,127500,122800,123400,127500,132e3,134500,134600,136400,135600,135900,135100,135800,134700,132200,131e3,13e4,129300,127800,126300,125100,121300,119900,119200,119200,117e3,113800,114200,114900,115800,117e3,118200,122300,123e3,119600,115400,114400,118600,122400,124700,127100,13e4,131100,134e3,137300,140800,143e3,143200,145400,147200,149500,151600,154500,155300,155800,155700,155900,157800,157700,158e3,157700,158300,158600,157200,158e3,158900,162100,162600,163e3,163200,162600,165100,167100,170100,171800,172800,173900,174400,175600,176500,177600,180300,182e3,183800,183800,185100,186500,189e3,190100,192400,193100,195300,197200,197700,199400,200400,202900,202800,203900,203500,205800,206600,209700,210600,213700,215200,220100,223400,226100,226e3,224300,225100,227900,230600,231400,231600,234200,236e3,239900,243e3,244600,241900,24e4,240600
53,Tennessee,17,118700,118400,117600,116900,116300,115800,114800,113200,110300,107300,107300,109700,110800,111100,109900,112100,112200,113600,113900,115200,115500,114700,114500,113100,113900,114200,115800,115100,112200,110300,109e3,110200,110200,113e3,115200,115400,113900,111900,111300,109700,109400,110300,110900,111e3,110500,112300,111600,111800,110300,112500,113300,113500,112400,112100,112500,113800,114900,117200,117300,117700,117100,118900,120700,122400,123400,122700,122400,121400,121900,122100,121700,123100,124500,126500,127300,128300,130100,130700,131e3,131600,132900,134900,135200,136e3,136500,137100,137900,138100,138500,138400,138700,139700,140400,140700,141600,142500,143e3,144100,145400,146700,147500,15e4,152e3,154600,154200,155300,156300,158e3,158e3,158600,157900,159300,159700,162400,164500,165400,167500,168400,171500,172500,175e3,173900,173600,172e3,172100,172600,172700,174200,175800,178700,183100,185400,185400,184500,185e3,185300
32,Missouri,18,141100,139400,133500,131e3,130600,131300,132200,131600,129700,128e3,129400,137e3,139500,139100,132200,130400,129e3,128900,129900,131600,132500,132200,133700,137400,139e3,137e3,133e3,131100,130500,130200,130600,129900,130500,130100,131500,131800,131e3,128200,124900,123100,123900,124400,125300,125200,127e3,127400,126300,129800,129700,131600,128400,129300,129500,129700,131500,131400,130900,130700,128200,130500,130100,135300,135800,138200,139800,140100,140500,139700,139600,139500,139100,138100,137400,137800,138600,140100,141400,142600,142100,141e3,141400,142500,144800,147100,148900,149500,149300,149600,149500,149600,148900,149400,148500,149300,149e3,148600,148200,148400,149900,150300,150200,149900,151500,152300,153100,151900,151700,156700,157100,157300,152600,153e3,153200,153300,154300,155e3,156700,157700,159300,164700,165400,165700,161400,159800,159e3,158300,159800,161300,164400,165900,169100,171400,171500,171e3,169600,
27,Maryland,19,266800,265400,260900,255700,251800,252e3,252800,253500,251800,247500,246100,247200,25e4,249400,241500,235700,226500,23e4,229e3,232800,229100,231700,232400,232300,229500,225200,220900,214300,207600,201600,199100,203300,205200,206800,211800,223e3,214900,201300,179400,177400,179600,190500,203700,206400,209500,208200,213400,211500,212700,214e3,219900,223800,223300,222500,217200,221400,223300,225300,226800,222400,223600,222700,228700,233e3,239200,241100,239700,234500,234400,235300,237300,236600,239700,238500,241100,240100,241500,240500,241200,240900,239800,240100,237900,236200,234500,237300,237800,243e3,243e3,243700,241500,240900,240700,241400,239900,245400,245600,249500,247700,249300,251800,253e3,251900,255200,256e3,257e3,254300,256900,258300,259300,258600,258900,257300,256300,259800,261600,264100,263900,266900,266100,268200,267700,268700,266500,264600,265200,266200,267200,266400,264e3,264600,266300,269900,273500,278300,281500
60,Wisconsin,20,156500,152900,152e3,148300,148400,147300,146600,145900,145800,144500,143200,141600,140900,138800,137400,136300,136300,136700,137700,138800,138800,140600,140200,142400,142700,140800,138e3,135400,135700,136700,135600,134800,134800,137200,140800,14e4,138500,133300,133e3,132100,133300,133500,134400,135700,135700,134300,134600,132800,132300,131700,133100,134700,136300,138100,137900,137800,135100,138100,141400,144100,143500,143500,143800,146e3,146500,148400,148300,146600,145100,144700,143200,141200,141200,141600,145e3,144800,147800,148700,150600,147300,148e3,148800,153800,154e3,153700,153100,155500,155700,156200,154300,154100,154100,153800,154e3,153500,154800,157600,158600,158500,157900,158e3,158300,158100,159200,160600,162900,163500,163200,161900,160700,162600,163200,165100,165e3,164900,166100,166800,168400,169300,170600,172e3,172900,173e3,174300,173400,174200,172900,175300,176500,177900,177300,178500,18e4,181500,183200,
