"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Athens, GA",220,186950,184900,179900,179900,179000,174900,175000,179900,179900,178000,174900,169900,169900,169900,169900,168000,164900,164900,160000,159900,160000,159900,157450,155000,156900,159900,159900,159900,159900,154900,159900,159900,159900,159000,159889,159900,159900,159900,166950,169000,169900,169900,169900,169900,169900,167350,164900,169900,169900,172900,175000,179000,179900,180000,179950,179900,175000,175000,175000,174900,179900,180000,179900,180000,175000,179900,184900,187889,193500,189000,187500,189900,189900,189900,189900,204900,204950,208950,219000,218000,225000,219900,215000,219900,225000,225000,229000,234900,244900,242500,244900,247900,248400,244900,249000,249950,249900,268300,265000,268500,266350,268500,250000,244900,249900,249900,248250,249900,249900,254450,264900
"Torrington, CT",221,319000,319900,329400,320000,319000,320500,314900,317950,299900,3e+05,299500,295000,295000,289900,295000,296950,294900,290000,289900,289000,285000,285000,285000,289900,279900,285000,289000,289000,294900,298000,296450,289900,289947.5,289900,289950,288750,285000,285000,289000,287500,289000,285000,283950,279900,285000,284900,284900,285000,285000,288950,280000,279000,279900,279900,279900,277450,275000,275000,275000,274800,275000,279900,279900,279900,279900,279900,279000,274900,279900,280000,279900,279000,275000,275000,284900,285000,284950,289000,287416.5,289000,289467.5,284900,284900,279000,279900,289000,289900,299000,299900,299900,299000,298000,299900,299900,299900,295000,299000,299000,299900,299900,299900,299000,309949.5,310000,307450,3e+05,3e+05,299900,299000,299900,304900
"St. Cloud, MN",222,169900,164900,164900,159900,160000,162475,159900,159900,159000,154900,149900,149900,149000,139900,149900,149650,149900,149900,149900,149900,149900,149800,144000,139900,139900,139900,148900,149900,149900,144900,144900,144450,142900,144900,139900,139900,138000,144900,147900,149900,152900,159900,154900,157900,159900,154900,154900,151900,153999,159900,160000,166450,168900,167838.5,168888,165000,164999.5,159900,159900,159900,159900,164900,169895,169900,169900,169900,169900,169900,167900,169900,169900,169898,167500,169900,174900,174900,177500,179900,183500,184900,179900,179900,179900,179900,179900,188500,185900,194900,199900,194900,190950,189900,189900,188900,185000,185000,191450,199900,204900,209900,214900,214900,214900,210000,205000,204949.5,207700,204900,2e+05,204400,215000
"Hilton Head Island, SC",223,380000,374900,368250,359000,354900,349900,345000,329000,348479,329000,339000,338000,329000,319000,325000,329000,329800,325000,324900,329900,299000,299000,289950,294900,280990,279000,279900,285000,289000,279900,279000,289000,289000,285000,279000,285000,279000,289000,299000,299900,3e+05,315000,314950,299994.5,299000,299900,303409,310000,299900,319000,318500,324000,321990,324900,326900,329900,329900,325000,329900,330000,329000,329900,334900,324900,339000,339000,338900,334892.5,339900,349000,349000,349000,349054,359900,374700,369000,365000,369000,369000,369000,369900,375000,369900,365000,365260,369900,369000,369000,365450,369000,367000,365000,369900,369900,371990,372275,369990,365000,365000,364369,359900,359900,364065,364900,369000,369900,374900,374900,365000,363000,369000
"Bloomington, IL",224,164950,164950,169900,169900,169900,174900,169900,164900,164900,159900,158900,154900,154900,156450,159900,157950,159900,159900,155945,152900,149900,149950,149900,145450,145900,143000,147500,147700,149900,147500,144900,139900,139900,138150,136900,133900,136700,139900,139900,144950,144450,144900,146000,148950,149500,149900,149500,147250,152000,149900,154900,154900,158900,159900,159900,157500,159900,159900,154900,149900,153900,155000,155000,156900,159900,155000,154900,152900,156199.5,149900,149900,149000,147900,149950,152950,154900,149900,149900,148800,144900,144900,141800,140000,142600,144900,149900,154900,162700,160000,162900,159900,156500,157237.5,159900,157000,155000,159900,161900,167900,172900,169999,174250,169900,165000,159900,155950,149900,144900,149900,150000,157500
"Hilo, HI",225,399000,409999,399000,399000,399000,385000,381450,375000,375000,379000,380000,369000,379000,397600,390000,369000,365000,365000,349500,349900,350000,339000,321700,325000,325000,329000,325000,339900,339000,329000,319500,319000,319000,299999,299900,319000,349000,339000,340000,345000,339000,329000,339000,343800,349000,348900,349000,350000,349700,360000,355000,363250,374950,369000,369000,369000,362000,350000,374900,379999.5,389500,399000,399000,399000,375000,379000,389000,388785,389900,389000,390000,390000,399900,399500,425000,429000,429000,439000,440000,439000,450000,448000,449950,449000,449000,449000,439000,425000,425000,425000,425000,430000,429000,429000,429000,435000,443965,449949.5,449000,448000,449000,439000,429500,439700,439000,429000,439250,444900,449000,449842.5,445000
"Panama City, FL",226,232000,225000,220950,219900,219000,217000,213132,209995,207000,204645,2e+05,199500,199000,194490,195975,195000,199000,199000,190000,190000,191500,190000,187950,189900,188950,186000,185650,189000,180000,179900,179900,171000,170000,173400,181450,179900,180000,185000,189000,189950,199000,199000,199000,199000,199000,199500,199900,199500,199000,199900,204000,207345,212750,209000,209950,210500,215000,214900,219900,215000,219900,219900,219900,225000,225000,229900,229000,230000,235000,231950,239000,232400,232800,229000,234900,234900,239900,244500,244900,244900,244900,244900,244900,242450,244900,249000,249900,251900,249900,250000,249900,249000,250000,249975,255075,259000,258500,258500,264000,269850,269500,274000,270000,274000,275900,278700,279900,289250,279900,289900,288700
"Kingston, NY",227,269000,269000,269900,269900,270000,274900,269900,269900,269900,269000,260000,259900,259900,259000,259950,250000,259000,259000,259000,259300,259000,259000,252000,244000,239900,235500,239000,238650,235000,235000,234999.5,229000,229549.5,229000,227000,229000,225000,225000,225000,229000,235000,233500,229900,229000,225000,225000,225000,224900,220000,224900,229000,229900,235000,229900,237500,237500,234900,235000,230000,229900,224900,225000,229900,229000,229000,229900,235000,230450,229700,229000,229000,229000,225450,228825,229000,229900,239900,239900,239000,239000,239000,239000,232000,229000,228250,225000,225000,235000,244900,249000,249900,249000,249900,248800,245250,242750,242750,239900,244999.5,249901,254995,259000,260000,259900,265000,269650,269400,269000,259900,260000,259900
"Daphne, AL",228,260000,260000,259000,250000,249900,247900,242000,224000,239000,239900,239900,239000,239000,231400,234900,234900,238900,239000,239000,239900,240000,239900,244900,249000,240900,240000,245000,242900,245000,243250,239900,238700,238140,239900,241900,239000,234997,237500,239900,239900,234900,239900,245000,240900,245315,247900,249842.5,247500,241000,245900,249615,249900,249900,252020,254000,249999,250000,249900,245000,250000,249999.5,254900,259900,264900,268900,269000,269000,269900,259000,266000,267000,267900,268950,284900,283900,282500,280000,285000,289151,293750,294000,291000,293462.5,289000,284999,289990,291915,299000,309900,309925,309900,304900,299900,299900,289900,295000,289000,285000,290000,299900,299900,307875,306895,308990,303500,306995,310000,310000,305000,305000,310900
"Gainesville, GA",229,215000,215000,209900,210000,214900,210000,2e+05,202834,199900,195591,189900,189000,185450,180000,188990,179900,180500,180000,180000,181950,174945,169900,165950,164900,159900,165900,169900,172450,175000,179900,176700,174900,169900,169900,169850,171125,189900,192000,191000,199900,218500,226500,226000,239000,234900,234900,235000,241524,243990,243520,239900,249900,253900,259913,259906.5,259000,249900,248650,249900,243495,239900,250990,239900,239000,244900,249000,239900,239900,245450,239900,249900,249900,249900,255000,265000,269250,271400,274900,268499,274238,271594,269900,259900,265100,270000,274900,275192.5,285025,280000,280000,285025,285140,289995,289900,284900,284700,284900,285243,296990,299000,299900,307450,309900,304950,309900,299900,302900,312000,309420,310000,310000
