"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
"Kay County","OK","Ponca City","40","071",1028,124450,123950,123900,120000,120000,119500,119900,115000,110000,99500,97750,93000,94500,95000,89900,93450,94200,89900,89900,89000,89900,86200,84900,84900,85450,88900,89450,87500,79250,79900,82900,84900,89900,89900,95000,95000,94500,90000,89900,85000,98450,98000,95000,98500,98000,105000,107500,98000,93950,95000,98000,98750,104500,107900,109900,112450,105000,105000,109450,105450,109950,115000,115000,113900,110000,116500,118500,114900,115500,109000,99900,89999,96750,99400,112000,107000,110000,110000,114900,114950,112000,112000,109900,110000,105000,104000,99900,99900,108000,99900,104900,99900,99900,108450,109700,99900,117000,109900,109900,105450,112900,119000,119900,115750,114900,110000,105000,101400,102000,98000,99900,105000,110000,112250
"Mississippi County","AR","Blytheville","05","093",1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97500,94750,89000,88500,84900,89000,85200,81900,78500,85500,79900,78250,78250,74900,78000,73900,68200,80000,79900,76900,78950,74900,79900,85000,79900,79900,83500,86900,85950,86450,84950,80000,85000,85450,89950,81000,91000,89900,92963.5,104950,110000,112000,108000,110000,109900,110000,103950,106000,99000,98500,105450,99700,98250,101950,99000,95000,93900,94900,90000,90701,89000,84950,85000,88500,89900,92500,90700,94900,94900,92900,90900,90000,88888,85000,89900,96000,109900,109900,109950,116000,115000,109900,115000,109900,108400,99900
"Gadsden County","FL","Tallahassee","12","039",1030,159900,161000,159900,151500,150000,150000,159900,159900,154950,159900,159400,158450,154000,159850,161200,156400,150000,152337,125000,125000,125000,124950,120000,120000,120000,119450,120000,119900,119950,119000,119000,119000,119900,119900,119450,120000,118000,114900,115000,110000,124900,120000,124950,120000,120000,115000,113950,119450,119000,115000,119000,117000,119000,118000,120000,121000,125000,129900,120000,124000,118500,115000,125000,125000,140000,124950,125000,125450,125000,119950,120000,120000,110000,115000,119500,130000,132600,130000,128450,125000,127337.5,135950,139500,134500,129900,134000,133250,129900,139000,144200,138450,150000,150000,148250,149000,149900,150000,142000,142000,154900,154900,147750,148900,152450,145000,148000,149000,146500,146500,149500,160500,163000,162500,165000
"Henderson County","KY","Evansville","21","101",1031,129900,127777,119000,124444,129900,129900,124172,129900,128500,129900,132950,130000,129738.5,119900,125000,120850,129900,132000,134500,129900,127900,131500,125500,119700,124900,119888.5,101000,108950,121950,128000,129450,129900,128500,125000,135000,129900,133950,132700,128900,124950,119900,118000,126400,118000,119950,124900,124900,124450,126750,123450,122900,137000,137400,137900,138750,130000,139250,139900,140000,139900,149745,142500,142250,140450,139500,132500,134900,128900,127500,133900,131200,129900,129900,132250,132500,144900,146000,148500,148000,149900,149900,156000,155000,149900,149900,157900,159900,159900,169900,169900,169500,159900,165000,164900,165000,165900,165450,167700,179900,169000,169900,169900,175900,176400,169900,167900,168400,158950,154900,146950,154450,159900,164900,165000
"Warren County","IA","Des Moines-West Des Moines","19","181",1032,164950,149900,149900,155000,155000,159500,154500,154900,150000,153000,152000,149000,149900,149900,149950,149900,149700,152900,154900,160000,163500,165750,166900,164900,162475,160975,169900,174900,168750,174900,179900,172900,182500,184000,174900,169900,169900,174900,185000,180900,179900,172900,169900,163236,168700,173900,176900,171450,169999.5,170000,164900,173950,175950,180000,179700,176900,183900,187900,189900,189900,192750,198500,205000,199600,193900,199900,218250,210900,225000,224900,205950,207500,206900,205000,189900,185950,189900,194950,199400,189900,193550,204900,207900,204950,199000,219800,227000,243900,248900,248900,245000,248900,251000,255000,256900,247695,249900,253795,249900,254950,259705,264900,259510,254000,258700,259900,259900,257500,255000,255000,253900,259900,259900,255000
"Goodhue County","MN","Red Wing","27","049",1033,177900,178450,169900,177900,172500,172200,168700,164900,164400,159875,155900,159900,169900,167900,169900,164900,156400,159900,159900,155400,154900,149900,159900,159900,159900,159900,169850,159900,159875,164875,169500,169250,156250,159900,159900,149000,141200,159900,167000,167000,169500,164900,164850,165900,159900,157900,159850,159850,150000,149900,169500,175000,179000,189900,179900,179900,184500,174900,174900,175000,175450,175000,179900,184900,189900,195000,196400,2e+05,207900,2e+05,189900,187900,189450,189900,187585.5,189900,194900,192675,209000,214900,209900,216000,199900,210000,212900,214900,219700,219900,219900,219450,210000,220000,229900,234900,229900,216500,219900,235000,235000,244900,246485,249900,249900,250000,244900,249850,249875,259500,249500,240000,259900,249900,249900,249900
"Iron County","UT","Cedar City","49","021",1034,169900,167900,160000,168999,160000,159900,164950,160000,164900,159950,156200,150950,150000,150000,149900,149900,149900,150000,149250,144900,140000,139900,134900,127750,135000,129900,129900,125000,136900,137500,139900,139900,145000,149000,149900,149900,155000,150000,150000,149900,150000,150000,156675,154900,169000,149900,149000,154900,158875,165650,166300,172289.5,169900,176776,177500,172750,174900,169000,169900,169900,169900,169900,169900,174900,179900,184950,189900,185450,190000,198700,214900,215500,199995,194900,194900,189900,195000,204950,209000,209900,214900,205000,209900,214900,214900,214900,219900,219900,224900,220000,220000,224900,220000,233850,234900,235000,232900,239000,238250,239950,239900,244900,239450,238000,242000,243650,243950,239950,238000,244900,249777,244900,244995,244900
"Lawrence County","IN","Bedford","18","093",1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127450,129900,135000,135000,138200,138500,133200,133200,129900,129900,137000,136450,144900,143150
"Campbell County","WY","Gillette","56","005",1036,229000,225000,225000,224900,223400,217900,217700,219900,219900,219900,214975,214900,209700,191900,209900,209900,210900,219900,229900,229900,229900,219450,219000,225900,216900,218450,227900,225000,224250,223500,223900,219900,217750,216600,219900,219500,218000,222000,224900,225900,225000,225000,229900,224500,229995,224500,215000,224500,222200,234500,225000,229000,237700,234900,234900,236500,235500,239000,239900,239000,235000,224900,228200,234450,244900,239450,239900,240000,239900,241900,239900,240000,240000,244900,239900,235000,232850,229000,229000,227250,229000,224900,219250,211000,209900,208950,209900,214900,216250,216250,215000,216000,213655,214900,210000,210000,210000,210000,214900,215000,218700,225500,231000,228750,226156.5,225000,215000,218750,215000,219900,219950,225000,229000,229700
"Buffalo County","NE","Kearney","31","019",1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175850,170450,177900,177900,170950,167900,179900,167750,173950,167520,187400,174900,204900,201900,204900,198900,194900,199900,205000,199900,199900,192200,197450,2e+05,204900,199900,210000,219900,218900,199949.5,189900,189900,189900,189900,195900,194900,210000,209900,204900,205000,2e+05,199900,204900,209950,219900,219900,219900,210000,219900,235900,224000,229900,228700,239950,219900,214900,209940,195000,205950,222900,225800,232500,234250,222900,222000,219950,217900,217700,219900,209900,214950,219900,224900,221000,222000
