RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
11,Connecticut,29,2232,2302,2736,3266,3237,2848,2482,2435,1861,1813,1200,1153,1585,1676,2040,2831,3237,3042,2626,2818,3079,2573,1589,1537,2368,2505,2912,3997,2535,2468,2049,1566,1868,2030,1511,1326,1847,1781,2283,2940,2292,2154,1940,1899,1427,1693,984,1063,1821,1403,2125,2753,2950,2856,1720,2315,2228,2412,1785,1188,1909,2478,2915,3189,3760,3422,2789,2781,2466,2624,1853,1611,2123,2343,2638,3542,3859,3344,3004,3047,2453,2914,1871,1838,2397,2605,3061,4203,4484,4043,3643,3279,2706,3176,2210,1875,2733,2926,3582,4333,3012,4541,3425,3463,2550,3344,2701,2221,2794,3012,3881,4709,4315,4547,3511,3698,3165,3037,2607,2104,2591,3300,3891,4540,4708,4477,3229,3530,3041,2975,2304,1993,2477,3274,3832,
19,Iowa,30,2253,2578,3008,3397,3329,3165,2914,2786,1937,2202,1340,1431,2083,2230,2527,3549,3219,2784,2807,2852,2829,2150,1442,1425,2376,2854,3276,4003,2137,2223,2107,2058,1975,2169,1477,1410,2028,2247,2634,3131,2652,3105,2598,2480,2392,2382,1843,1907,2563,2821,3688,4031,3549,3689,2888,3387,2817,2916,2201,1969,2648,3e3,3919,4265,4609,4367,3524,3683,3170,3214,2232,1972,2663,3285,4058,4901,4354,3977,3608,3555,2811,3232,2080,2145,3118,3401,4134,5322,4744,4313,3877,3670,2711,2916,2305,2305,3060,3428,4354,5317,4516,4627,3922,3697,3353,3402,2752,2527,3671,3896,4807,5871,4767,5009,4256,4368,4243,4042,2863,2297,3517,4021,5037,5600,5153,5403,4134,4700,3802,3097,2164,2332,2884,3466,4471,5031
34,Mississippi,31,1083,1219,1218,1161,1291,1205,992,1085,756,1061,664,750,1172,1130,1162,1519,1525,1467,1503,1512,1471,1539,887,970,1282,1444,1614,1534,1272,1205,1169,1192,1187,1345,944,954,1318,1326,1476,1501,1373,1580,1446,1385,1270,1261,896,846,1205,1220,1510,1480,1426,1451,1145,1419,1248,1255,1103,1077,1190,1271,1522,1395,1627,1868,1556,1552,1313,1425,951,1190,1362,1529,1642,1678,1835,1870,1528,1345,1046,1301,997,942,1545,1558,1754,2037,2087,1883,1695,1767,1371,1528,1458,1482,1864,1957,2016,2253,2200,2536,1968,1960,1875,2105,1510,1507,2133,1934,2340,2453,2048,2182,1761,1767,1593,1878,1319,1097,1526,1533,1924,1916,1971,2017,1513,1683,1521,1447,1044,1145,1513,1660,,
6,Arkansas,32,2651,2682,2873,2810,2935,2789,2457,2484,1684,1864,1531,1785,2206,2334,2368,2696,2733,2511,2599,2622,2373,2241,1438,1605,2360,2720,2816,2876,2188,2367,2173,2182,1902,2e3,1681,1541,2265,2218,2258,2398,2314,2501,2243,2028,1826,1848,1486,1611,2019,1940,2322,2362,2380,2393,1797,2226,1835,1766,1797,1659,2180,2207,2565,2369,2740,2737,2263,2384,1824,1979,1693,1646,2173,2406,2569,2567,2812,2190,2420,2313,1754,1980,1475,1547,2232,2106,2535,2686,2719,2457,2624,2505,1813,2373,1951,2220,2863,2980,3410,3415,3057,3446,2815,2783,2642,2571,2324,2273,3291,3049,3628,3924,3576,3773,3362,3398,2973,2814,2573,2469,3348,3678,3993,3927,3871,4026,3106,3644,3002,2688,2203,2439,2970,3341,3720,3229
23,Kansas,33,1838,2053,2043,1849,2089,2096,1828,1748,1255,1295,1039,1122,1663,1706,1872,2476,2528,2199,1970,2102,1974,1692,1035,1124,1836,2147,2384,2438,1584,1507,1446,1261,1331,1345,1043,991,1425,1597,1742,1957,1844,1866,1602,1442,1265,1577,1162,1240,1565,1742,2072,2171,2167,2139,1461,1672,1675,1541,1315,1274,1727,1825,2398,2475,2498,2516,2059,2027,1607,1820,1395,1325,1818,2060,2577,2847,2730,2409,2110,2114,1748,1976,1334,1568,2172,2441,2708,3408,3062,2675,2614,2421,1845,2192,1654,1883,2668,2751,3201,3940,3350,3533,2991,2693,2523,2284,2085,1959,2986,2947,3944,4109,3952,3769,3343,3072,2855,2866,2157,2119,3011,3209,4048,4280,3982,3855,3007,3499,2861,2496,1930,2078,2541,2873,3539,
55,Utah,34,3098,3500,3589,3301,3417,3238,3217,2838,2224,2344,1836,2111,2698,2832,3096,3685,3636,3229,3195,3484,3176,3008,2043,2333,3421,3808,3707,3283,2642,2746,2758,2652,2464,2502,2206,2233,3117,2925,3243,3360,2957,3356,3023,2856,2690,2981,2147,2465,3151,3249,3690,2936,2322,3253,2550,3088,3196,3137,2465,2511,3176,3739,4456,4179,4349,4266,3514,3343,2991,3085,2480,2683,3240,3622,4040,4162,3869,3874,3468,3652,3006,3286,2199,2433,3486,3679,3593,4687,3866,3836,3590,3143,2469,2950,2918,3127,3920,4329,4982,5495,4626,5166,4791,4585,4040,3973,3230,3341,4942,4696,5688,6041,4997,5782,5099,5185,4630,4352,3693,3817,4811,4587,5575,5815,5161,5556,4250,4686,4220,3688,3227,3342,3996,4063,4320,
42,Nevada,35,3046,3506,3713,3985,4197,4023,4191,4353,3252,4109,3605,3785,4969,5188,5135,6381,5876,5235,5527,5550,4894,5607,4176,3803,5043,4851,4397,5322,4547,4635,4580,4349,4397,5031,4e3,4322,5615,4904,5131,5858,5262,6096,5069,5001,4931,5163,4433,5055,5495,5154,5215,6369,4527,4810,3949,4418,4155,4119,3678,4151,4482,4966,5183,4802,5057,4850,4445,4538,3746,4070,3519,3591,4429,4756,4751,5485,4466,4633,4528,4416,3771,4345,3310,3892,4770,5077,4937,6344,5462,5008,4504,4462,3859,4907,3746,4045,5190,5317,5594,6565,5190,5957,5716,5014,5312,5286,4254,4305,6030,5366,6673,7116,5932,6482,5836,5684,5174,5255,4730,4618,6357,5685,6355,6568,6764,6248,4900,5497,4800,4377,3931,4119,5144,5714,6348,6349
41,New Mexico,36,1462,1586,1601,1615,1697,1588,1484,1435,1026,1110,883,994,1270,1305,1224,1478,1672,1467,1573,1609,1400,1369,1030,1087,1541,1637,1653,1792,1425,1441,1505,1331,1335,1319,1155,1033,1392,1270,1311,1390,1268,1333,1304,1206,1162,1237,1093,1189,1508,1499,1679,1593,1487,1702,1310,1515,1355,1486,1339,1305,1557,1669,1892,1786,2028,1934,1724,1800,1447,1540,1439,1476,1884,1820,1925,1922,1829,1974,1937,1948,1438,1507,1265,1273,1770,1903,1953,2027,2294,2154,2180,2004,1589,1928,1539,1626,2012,2140,2226,2472,2382,2395,2339,2072,2032,2166,1858,1842,2580,2270,2938,3044,2647,2921,2652,2683,2450,2525,2348,2119,2678,2794,3052,2956,2896,3072,2478,2516,2313,2087,1837,1827,2247,2339,2562,
61,West Virginia,37,915,936,1057,1186,1125,1014,1024,1011,702,741,602,577,798,842,930,1058,1140,1058,1043,1083,984,932,623,657,996,1105,1164,1457,1114,1198,1173,1113,983,944,870,800,965,1107,1090,1266,773,797,734,702,636,708,562,565,760,738,846,880,906,960,833,858,870,856,742,695,819,985,1086,1141,1129,1243,1092,1154,913,965,822,746,927,1071,1091,1278,1205,1169,821,720,597,535,459,537,688,663,735,1069,1034,892,848,900,712,688,610,729,767,853,1034,1207,955,1098,1077,943,914,898,726,694,955,1011,1255,1438,927,986,916,937,763,847,725,612,904,868,1061,1132,1037,1219,994,1132,921,900,702,810,993,1185,1301,
38,Nebraska,38,988,1224,1430,1314,1335,1333,1162,1171,760,859,594,718,924,1102,1677,2098,2168,1961,1806,2007,1694,1295,750,922,1595,1843,1230,2306,1181,1289,1185,1178,1057,1168,911,836,1230,1310,1573,1740,1604,1682,1384,1326,1298,1204,996,974,1337,1436,1821,1842,1765,1709,1402,1520,1195,1422,1006,894,1390,1551,1837,2039,2164,2131,1665,1728,1375,1472,1115,1079,1446,1678,1884,2222,2186,2032,1844,1767,1364,1608,1123,1035,1671,2035,2344,2664,2605,2278,2075,2128,1591,1865,1361,1312,1850,2045,2403,2867,2226,2630,2243,2018,2003,1951,1515,1293,2058,1990,2707,2919,2596,2496,2223,2136,1823,1912,1449,1285,1850,2032,2582,2856,2723,2593,2193,2355,1740,1684,1309,1353,1517,1730,2198,
