"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"United States",0,117.221735319895,117.177033492823,117.407718120805,117.432150313152,117.164461247637,116.352201257862,115.25086934923,113.964435146444,113.28125,112.226941747573,111.327762302693,109.030303030303,107.578293091083,106.838772316737,108.111480865225,107.97342192691,109.307875894988,109.463276836158,109.308240081384,109.054857898215,108.873929008568,108.206099399922,107.142857142857,106.233589645103,105.659622641509,105.906607866149,107.088220295767,107.526574500768,107.956341717887,108.051112951871,108.024691358025,107.571369466281,107.638888888889,107.266721717589,106.666666666667,106.109112926547,106.077981651376,107.407407407407,109.243998566822,111.381322957198,112.973760932945,113.849033063007,113.797722705961,113.808801213961,114.247311827957,113.824152542373,113.809523809524,112.676056338028,112.611167638879,114.01303538175,115.978312116926,118.309178743961,120,120.509969524393,120.699866759976,120.518653321201,120.396282947435,120.141585760518,119.685628742515,118.626956082786,119.117315919838,119.891269587464,121.445929526124,123.842592592593,126.436781609195,126.904296875,126.411389297987,126.093023255814,126.201923076923,126.455026455026,126.178451178451,125.261312363086,125.102543068089,127.041742286751,129.5,132.049960181865,133.393829401089,134.015525758645,133.928571428571,133.547008547009,133.974358974359,134.01268710852,133.310249307479,132.25,132.049649904519,133.720930232558,135.889070146819,138.374485596708,140.354609929078,141.082802547771,140.732873074881,140.186533356872,140.625,140.740740740741,140.221088435374,139.126712328767,139.620758483034,141.686474834815,143.925886143931,146.825396825397,148.415492957746,149.376784015224,149.568308786186,149.283960600254,150.174672489083,150.533290239173,150.356613637069,149.366883050144,149.400613325899,150.517147523136,152.702702702703
"New York, NY",1,236.607142857143,235.246483298943,238.714684032528,238.317757009346,242.392406737808,242.465569223641,239.603210537148,236.315789473684,238.196286472149,237.244897959184,236.338141025641,234.102026554857,232.531930879038,227.912867274569,232.112418801706,229.923076923077,229.592738155333,227.701863354037,225.67763131022,224.373200108345,223.320158102767,222.126777251185,220.404984423676,220.372184133203,219.487648673376,220.264317180617,221.004132859719,223.910171730515,224.558569282657,222.84295468653,221.101889853767,218.869123252859,219.951923076923,219.94902147558,217.815558343789,216.25,218.013468013468,219.943599257885,223.069347888426,223.918911838142,224.058466052097,222.341007801778,221.666666666667,219.673127798128,220.810313075506,221.666666666667,226.923076923077,225.193331074482,227.587141388655,230.526650759055,233.166666666667,236.164605716602,239.585253456221,243.333333333333,240.431345192419,239.392759828727,239.402339630056,239.421720733427,239.2002734108,240.831093653091,243.090696769171,241.613905029052,241.666666666667,243.2,240.384615384615,242.73176083379,245.630285944422,244.582760214406,244.081632653061,244.816326530612,244.728675083721,243.190661478599,250.715105081173,250.992063492063,247.550115986028,253.623188405797,252.162252072432,251.994680851064,250.336021505376,248.11954887218,250,251.286449399657,253.012048192771,251.575630252101,255.329895740193,258.204633204633,259.515462802768,260.205001785371,265.513126491647,265.993365939429,266.072745513544,262.5,266.363636363636,269.193337782549,272.360054449168,274.011640281378,275.103049060064,267.345050878816,260.450361433252,265.779634944662,271.285714285714,271.590697642947,271.725239616613,270.526272207019,274.17657753581,276.430348258706,276.75054974088,277.777777777778,280.662468844287,279.161080438379,281.153287846384
"Los Angeles-Long Beach-Anaheim, CA",2,281.058823529412,277.647743614326,280.437044745057,281.140042223786,280.565693430657,279.031296794838,276.734693877551,277.065217391304,272.245059310779,268.276684555754,266.71265622504,261.168407927412,258.071465302775,258.089991572796,257.825112107623,256.636586667375,257.195345988977,257.433489827856,256.435643564356,254.601673335758,251.50659668038,248.707628524046,244.973070017953,241.379310344828,240.583232077764,241.210873895229,243.354145611444,245.30647964886,249.082922373903,253.674727358938,256.834938459568,258.19888983669,259.080800593032,259.856344200671,262.022630834512,264.578254199774,270.430906389302,277.454242928453,289.915966386555,301.382545891444,310.655737704918,318.097187033067,322.690217391304,324.400564174894,326.24633431085,325.789743208853,325.577264653641,324.074074074074,324.891696750903,327.788852069329,329.960507753158,335.572842998586,339.835133727382,342.619512174295,343.867136641277,342.995997712979,344.073667870212,343.137254901961,343.979160290241,339.87915407855,338.438427990725,343.932511356262,348.167539267016,353.857041755131,359.757324434411,361.573236889693,363.321799307958,365.607665153807,365.976779404341,367.168419441976,365.740740740741,366.818435811999,369.255150554675,374.592833876222,378.699314205449,381.879194630872,384.422110552764,388.111888111888,389.250791218471,388.804210656509,389.239222250031,389.817459049407,389.940828402367,389.030612244898,392.09243091198,394.33562731604,400.717934354182,405.275022542831,408.450704225352,408.195882974761,408.856384866553,409.367245657568,409.952606635071,411.608320768941,413.105413105413,412.958284421307,415.052019922524,421.652686057817,423.174603174603,426.60890070376,429.338103756708,432.411986591553,431.622455761879,430.74358974359,431.424930939446,432.593394694099,431.916389464917,429.338790741641,429.257596675729,430.46357615894,433.574879227053
"Chicago, IL",3,153.151787595891,153.032565063439,153.631756756757,153.232998885173,151.6,150.924214417745,148.250475285171,147.015475313191,142.42075881711,142.471745135597,140.394282993752,136.065427172911,133.222222222222,131.634615384615,132.34542667348,132.65306122449,133.067691135382,132.134198400018,130.947070099039,129.118603357864,127.683134582624,125.113739763421,122.224311562409,119.461077844311,118.947368421053,119.375,119.828722002635,120.456466610313,120.847508854542,121.052631578947,118.31550802139,117.099779961282,116.420807453416,115.391192817443,114.714086471409,112.566054167907,112.042502951594,114.235207967194,117.164179104478,120.212765957447,123.6958443855,125.308414309207,124.674827850038,124.476987447699,124.944444444444,123.696415960452,122.203738055693,120.323447636701,119.25,122.637362637363,127.272727272727,130.566523404549,134.304450468135,136.904965683637,136.070110701107,135.296461213968,134.243509400179,133.25,131.731344444713,129.598662207358,128.364042434394,131.030924125136,135.671342685371,138.18301514154,142.738095238095,144.047619047619,143.430866322433,142.446523038575,141.4463525243,140.562248995984,139.145018334373,136.866359447005,136.363636363636,140.202702702703,143.914802894948,147.405789186237,149.537137636804,152.111801242236,151.108602150538,149.398057889299,148.90988372093,148.913805185704,148.00074019245,145.815358067299,145.756706899368,149.375,153.146007218588,155.933368065536,157.090643274854,158.062944864321,157.488131204143,156.185505319149,155.886025946213,155.34708499329,154.045814740252,152.156862745098,152.392139698641,157.015678980719,162.354050389021,166.21829105474,166.799680766161,167.315721294679,167.004048582996,166.609195402299,166.724931882958,166.068222621185,165.618221865492,164.507824960932,165,167.602996254682,170.280612244898
"Dallas-Fort Worth, TX",4,83.9160839160839,84.2318059299191,85.0340136054422,85.5038680781759,85.7200119467436,85.3734912469455,85.0365712259574,84.4018094054474,83.9260143198091,83.7776085300838,83.4852351440029,82.3019252386432,81.5582354807998,81.6086206896552,81.8331658291457,82.122905027933,82.8703703703704,82.7302631578947,82.6446280991736,82.3706680060271,81.9742724074218,82.40952817224,82.1522492840517,81.7157169693175,81.703995157385,82.7513966480447,83.11345646438,84.0703703703704,85.3048780487805,85.7085714285714,84.9841596927261,84.5693249592309,84.217225286381,84.5920439407395,85.2791878172589,85.660245451994,85.5809128630705,86.8562627174592,89.3950749464668,90.6582124241262,91.6069518716578,92.1375921375921,92.3063802905875,92.4556213017752,92.4485173305,92.7842907385698,92.9859087643018,93.3729773743113,94.251806843949,95.6284501061571,96.9916297390448,98.1397598398933,99.5756188038848,97.9858708189158,98.4990619136961,100.697360776693,100.78336421358,101.552928533047,102.376724011147,104.321015737655,106.089724158836,106.571978444958,109.944751381215,110.584803995037,109.615384615385,109.824231010672,109.872773536896,110.04152695383,110.584518167457,111.847555923778,112.364894076956,113.959127121579,114.705882352941,114.901256732496,117.367939959588,118.783063980023,119.862157534247,120.553421178077,120.827398024609,121.368850520341,122.065314966723,123.985572587917,123.613003698657,124.211532335139,125.462718138551,126.645483431684,128.160143949618,129.605263157895,130.21712907117,130.57687564853,130.238870792617,130.287289318364,130.952380952381,131.284892527268,131.350787630803,132,133.262483490252,134.726449686144,136.109548562443,137.19892653472,137.844702467344,137.718277066356,137.378362907842,136.706783369803,137.323943661972,137.340647131258,137.468030690537,137.228758169935,137.225876607068,137.439129146919,138.527933597627
"Philadelphia, PA",5,143.321786423542,144.14756338242,145.789281808239,145.161290322581,144.963738920226,144.193815152579,143.034825870647,141.71511627907,141.010858027174,139.441860465116,138.479480110462,136.147859922179,134.920634920635,134.895833333333,135.741998060136,135.740740740741,136.168650021011,135.532611720272,134.277226091867,133.329864864865,131.676646706587,130.522230063514,129.303482587065,127.786087692261,127.410130718954,127.867298578199,129.522431259045,129.564258135687,129.268292682927,129.132231404959,128.098290598291,126.931230818931,126.275352698844,125.628140703518,124.688279301746,123.706702654071,123.03664921466,124.590163934426,126.976161100025,128.330658105939,130.652124517155,131.208728107953,129.337899543379,127.512330269142,127.66449295071,127.260363285722,126.952380952381,126.373229371784,124.305555555556,124.720066518847,128.571428571429,131.410402373574,132.570840719992,132.393162393162,130.873015873016,130,130.158134771788,129.416053698184,128.682634730539,126.694950943058,125.290792540793,126.744186046512,129.766448564158,132.952484335495,134.507306107156,134.30447236563,132.666666666667,131.184407796102,130.731434494709,130.488305293394,129.804858966725,127.5,126.527472307213,127.584543867307,130.396321149819,133.639050943589,134.722222222222,134.758771929825,133.786848072562,132.434901781635,132.547864506627,132.134480062549,130.873015873016,128.048780487805,128.042257506975,129.658018867925,132.522745871492,135.671191553545,137.560511554016,137.934934253166,137.320918367347,135.610169054665,136.382710868653,137.5,136.581220650497,134.351949420443,133.607287597211,135.993951612903,137.715269804822,141.059027777778,142.694063926941,144.910004590398,144.802086948756,143.832236842105,143.46921797005,144.140279619805,143.346777576429,142.386091127098,142.409541347606,142.41095890411,146.373918829009
"Houston, TX",6,81.0135135135135,81.6264794603389,81.9035270059214,81.9424405068328,81.8181818181818,81.6525290606346,80.517578125,80.0421039105396,80.7036265378005,80.1247716236157,80.1894397420395,79.4520547945205,79.0279462938315,78.9821314613912,79.2857142857143,79.0441176470588,79.4551645856981,79.5346628679962,79.0544642201161,78.863239779075,77.6880049720323,78.4313725490196,77.953488372093,78.2677798016529,78.5774529097554,78.7156421623035,79.4886363636364,80.4402551511573,80.9136137494346,81.0996860096621,80.6566322658786,80.8474457886481,81.1955890887986,81.0663184841963,81.4176245210728,82.4744130042143,82.9124471766617,85.1105079488174,86.2781954887218,87.1015567086731,88.1380900984247,89.1758917589176,89.5802098950525,89.8314606741573,90.8125640150222,92.4157987705303,91.8863578192987,92.475,93.4544825199031,95.4236702216627,96.7035928143713,98.8169675342229,99.4390884292863,99.8750780762024,100.328040926762,101.581667073887,102.971559333115,103.897321597379,105.124598077055,107.470385459104,109.577922077922,110.405204460967,111.291371994342,113.078196831275,111.704470447045,110.215185444367,112.349743279976,113.004153207199,113.224299065421,114.161109629234,114.129826524902,115.637961335677,115.718097074896,113.518197573657,114.612875163114,114.68576024167,114.837268666241,114.814044695766,114.478527607362,114.259756759208,114.054761074294,114.516449793659,114.002155562112,114.313496693893,115.047401992866,115.804934538748,116.154915215259,116.666666666667,116.864437252787,116.81195516812,116.288691371611,116.279069767442,116.91005391705,116.955087719298,117.299308229813,118.132650156561,118.540883068423,119.105864861516,119.918776875299,120.35175879397,120.530133928571,120.378331900258,120.044972771717,119.974414906297,120.136677096468,120.253164556962,120.478757133798,120.862493678527,121.490280777538,121.932838970278,122.129095675792
"Washington, DC",7,182.223124098124,182.370820668693,186.364487731785,192.28021978022,191.940298507463,188.679245283019,187.293300206304,182.622268470343,178.5625,178.401046622265,176.912080057184,172.162762640358,168.16052204905,167.264918625678,170.807453416149,173.417211519995,177.48545384271,177.97986478542,177.245862884161,175.438596491228,175.622951810314,174.292452830189,170.936406713609,167.718120805369,166.459617755857,168.650793650794,174.628145077521,178.797935103245,182.291666666667,183.058608058608,180.709534368071,177.958953347394,179.185903146775,178.776816608997,178.011224821974,173.344868907516,173.49537037037,177.232142857143,184.19152685865,191.826923076923,195.426195426195,196.75494152173,194.349005424955,193.602693602694,197.671718106234,196.452036793693,194.553924148887,189.203708261002,186.862825332979,190.783975750659,195.164152617569,198.806818181818,203.761030774935,203.843622597554,202.026221692491,199.565972222222,200.15162619461,199.930952380952,197.685044166921,192.649222035759,189.667468557441,191.6042837319,196.229648671808,200.775156611,204.139965120254,203.722351571595,196.832444720312,200.104002800107,201.221009549795,201.194184839045,198.80701754386,196.833976833977,195.917104465549,200,205.254515599343,211.982299847042,213.235294117647,213.827349121467,212.527964205817,209.472287890298,211.643454038997,212.879996097215,211.680707815761,208.332341269841,207.142857142857,211.148648648649,214.75187019399,219.128086419753,221.004286329917,221.9048145988,219.922418879056,217.496582267146,220.588235294118,220.672465802039,218.469415032274,214.489990467112,213.234558823529,217.041800643087,221.863684771033,226.975832789027,227.219873150106,227.440172067381,228.182276229994,225.258064473123,227.836134453782,228.284841433479,228.81952593288,224.669117647059,222.541817929713,224.914565177623,231.826325572139
"Miami-Fort Lauderdale, FL",8,151.696428571429,150.729335494327,147.233837217252,144.519370778342,144.396551724138,140.822543792841,137.690646286759,135.97161439801,133.136094674556,131.276222941193,133.333333333333,130.456852791878,129.092054041676,131.747829369573,128.935035455896,124.743024963289,126.728110599078,126.623973874715,127.193237305932,128.343959596192,130.208333333333,130.896815897383,132.282385195339,134.219405647258,133.426183844011,132.49170235546,134.595277095277,133.396704163231,132.537949112756,132.402765523559,136.80981595092,136.899747262005,138.888888888889,127.194061865192,129.272863568216,131.29102844639,135.135135135135,137.837837837838,139.92,142.375109553024,143.472584856397,144.3887124447,144.825018615041,144.354700593983,146.083883129123,148.614997093587,153.004732067502,153.82118956898,156.109949758542,157.499212350347,157.415682414698,158.862876254181,158.340895341803,160.229007633588,159.308147473828,159.411404046597,160.623380829016,161.490359562272,166.759118919032,168.463611859838,168.547341115435,169.1850381256,169.270833333333,169.396835923424,167.964043348693,168.684877499296,172.548055431381,173.85087025047,174.712643678161,176.187933796049,181.954137587238,183.293097594102,186.573188547675,188.836701816052,188.753393425223,191.749868628481,192.831541218638,194.885609924705,196.317512274959,197.103516157093,199.800688976378,201.967203513909,203.577512776831,204.732610866129,204.693611473272,205.761316872428,206.048387096774,206.847253574116,208.333333333333,209.42070537746,209.498834498834,209.252286175363,211.697722567288,210.943124550036,213.97756686799,216.062176165803,216.232074294751,216.336309724555,216.856325114927,217.433396918876,217.391304347826,217.294685990338,217.390434782609,217.391304347826,218.85753613214,219.653945666235,221.843003412969,223.780895123581,222.627737226277,221.709974853311,221.078551019676
"Atlanta, GA",9,92.8005724927766,92.6750115901715,93.362480127186,93.8575899843506,92.5,90.8430232558139,89.7541355336181,87.703729281768,87.2723745017109,86.6666666666667,85.1301115241636,82.2359396433471,80,79.4554270898246,78.4904013961606,76.9089775243036,77.420604182804,77.1812080536913,76.4240506329114,75.6868938401049,75.2807743926648,74.6022919903658,73.2671714749703,72.001872659176,70.9494324045408,71.5258855585831,72.18766124871,72.0931501000542,73.5294117647059,74.7048903878583,75.9446576616383,75.450213405906,76.9791894517369,78.5849544958587,78.8033395176252,79.4626593806922,80.0640512409928,82.2790294627383,84.2232101243187,86.6916588566073,88.6611515552614,90.0462962962963,90.5169575238722,90.3341955148465,90.8093513753891,90.6593406593407,90.3083700440529,89.1906071864099,89.1518019657808,90.8038897358029,92.4502864846646,95.2354260089686,96.5535248041775,96.8887741046832,96.4912280701754,96.1920928448979,96.0430272762197,95.28125,94.2713251495121,93.9153439153439,93.5637663885578,94.881657738247,95.2991649038012,95.9259259259259,97.7259467487006,98.5975607438629,97.0038918444166,97.1788710267413,96.8879358098751,97.204954954955,96.5703971119134,96.0618752045265,96.2673088500903,98.4752223634053,100.726980895709,102.977732016644,104.722010662605,104.947526236882,105.288694808345,105.553526499472,105.225586381946,106.227106227106,105.83109919571,104.916067146283,104.796688108709,106.978658559931,110.072710794589,112.238023952096,113.3609088261,114.358613408411,114.602935641701,114.435840707965,114.603798297315,115.384615384615,114.636075949367,115.075498032054,115.934130866519,117.22213145149,120.349803103497,123.071873974401,124.215625,124.732620320856,124.926798844538,124.296057924377,124.813992226541,124.925055697294,125.085436175542,125.06704126467,125.531914893617,125.321857664401,127.722497249725
