"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
"California",1,210.129310344828,213.936430317848,215.548531661188,218.494976195344,219.457646072127,219.613259668508,217.013888888889,215.93045112782,210.488049473508,206.395348837209,202.161785216179,194.758635657498,191.683569979716,190.11544011544,191.117647058824,190.771028037383,194.327731092437,193.256013745704,190.776081424936,189.814285714286,187.841191066998,186.070686070686,181.372549019608,178.125,177.149855907781,178.907721280603,179.382303839733,183.398642891685,186.420764091715,190.330354909852,193.452380952381,195.601851851852,196.279618597055,197.349125775522,198.237885462555,195.007235890014,197.693574958814,209.953800923982,218.201658664339,228.092908183269,239.72602739726,244.777854831992,249.666666666667,248.638394100658,250,248.041775456919,242.382271468144,237.934896926049,235.201676270299,240.66178507132,248.569482288828,255.109775972088,259.649419218585,260.984515630825,260.630315500686,258.796296296296,254.532775453278,252.272729591602,251.119562323441,238.095238095238,242.1875,245.969652958263,250.264837938259,254.626675175495,260.290556900726,264.640883977901,261.104242839543,266.208360727592,266.964285714286,266.148368552717,264.224473889322,261.627906976744,261.083743842365,267.611697269316,274.193548387097,280.674846625767,284.514925373134,288.252240348061,289.437819420784,287.73381294964,287.914691943128,287.534733021625,284.325396825397,278.721957851802,280.33887289575,285.992773672957,295.519814719506,301.549187606499,301.376288777376,302.424242424242,301.802258000354,300.604229607251,301.386476796885,302.03125,300.453584236109,294.871794871795,294.960994267659,302.222222222222,308.860417410104,313.604240282686,315.860735009671,319.02774229429,318.855534709193,317.162432765967,318.696412651562,319.23,316.831683168317,310.964230171073,310.055115787268,315.493242627285,321.428571428571,325.986369658401,324.306579134505,324.753289473684
"Texas",2,85.6,85.9903581480222,86.4711033274956,86.7823765020027,86.7375489647454,86.4864864864865,85.8080808080808,85.3926096997691,85.2764612954186,84.9315068493151,84.7389558232932,83.7583485688522,83.2436912104507,83.1592217920931,83.6065573770492,83.7277343792954,84.242910647405,84.2541024782076,84.0214067278287,83.605030274802,82.9996017518106,83.2324455205811,83.0783629603959,83.133971291866,83.28125,83.7565963060686,84.3082114735658,85.2761959152593,85.8551474128672,86.1079219288174,85.5431993156544,85.5851569933397,85.4191137213027,85.4799051771068,85.68251212246,86.1314598654717,86.2944162436548,87.962962962963,89.2516306213526,90.1635823333897,91.1196911196911,91.8918918918919,92.1665457417107,92.1418636995828,92.5735364769752,93.4857934857935,93.1227508996401,93.5109795213422,94.0932665665009,95.4514128187457,96.7170596828982,98.2274741506647,99.2814877430262,98.5028873917228,98.8381214381098,100.319343065693,100.572289156627,100.723889088514,101.744439635643,102.994905547873,104.470079307859,105.307029730481,106.447688564477,108.108108108108,107.987439500296,107.999611499611,108.796296296296,109.137528950077,109.727739112606,110.117521578313,110.217290799815,111.396881163582,111.616695838794,110.711928212847,112.249897917517,112.848272138229,113.643746616134,113.98244909365,114.259379483607,114.325457680992,114.25,115.056603773585,114.473684210526,114.65867231537,115.026965522487,116.14544837846,117.653549098933,119.083302356104,119.908129225412,120.155535224154,119.852489244007,119.564518870999,119.541666666667,119.858156028369,119.925648021828,120.146451370635,120.72808320951,121.77048571441,122.976660682226,124.553999929267,125.184275184275,125.291251556256,125.31391260673,125.027352457908,125.282555282555,125.260087361219,125.389923054549,125.403225806452,125.852123754588,126.500201109051,127.478753541076,129.010545209782,129.133154602324,129.469210544568
"New York",3,180.040770920976,175.339366515837,177.304964539007,176.331912182691,186.515748031496,187.5,188.117647058824,184.36170212766,187.615969843538,187.25,187.639821029083,185.733244857332,185.348128807659,177.053532073998,186.40350877193,185.416666666667,181.477516059957,178.947368421053,176.892056940701,175.199206349206,174.128381349069,173.97356898377,173.528500054703,174.391636589217,173.032407407407,175.585284280936,174.562682215743,176.441049330395,175.219903421512,171.616161616162,169.808917197452,168.173076923077,172.140967938023,174.375,171.565108998145,176.047120418848,177.556818181818,179.653550609433,181.71138996139,177.390226801365,173.974536313518,167.892857142857,163.72954491161,160.807930104901,160.633484162896,163.398692810458,169.408043380027,171.200932763311,175.454388471307,181.25,180.909090909091,181.411290322581,182.639593908629,185.513301661217,179.710657118877,178.734056189456,178.198234875711,179.651162790698,179.365079365079,181.418081333287,184.745996884904,183.076923076923,183.105724931139,181.818181818182,179.467084639498,177.536231884058,174.923031588873,171.25660598943,170.833333333333,173.581064177812,174.861878453039,174.95,183.429779367405,186.885245901639,182.795698924731,188.947368421053,183.915622940013,182.770414265733,171.674591769405,169.714650300784,170.269082136744,170.781045643523,175.327846333238,173.72167175026,178.772965879265,187.148217636023,189.629182996684,188.571428571429,185.649202733485,181.492842535787,180,177.181818181818,179.746041178465,181.159420289855,182.481751824818,184.771219001048,190.972222222222,186.363636363636,177.037037037037,182.438664453053,186.093475198203,185.337582078022,182.338308457711,179.607843137255,182.835820895522,185,188.583509513742,190.383043382091,197.556008146639,202.114427860697,206.663333333333,209.715083965321,204.545454545455,200.490196078431
"Florida",4,119.684499314129,118.475750577367,117.066369213608,115.63337373042,114.678899082569,112.244897959184,110.555555555556,109.278350515464,107.627316926152,106.221283946216,106.364801366937,104.395604395604,103.34849111203,104.083333333333,103.435807798408,101.351351351351,102.570060688306,102.407258475542,102.35878336437,102.436323366556,103.244837758112,103.983739837398,102.858776443682,103.287156790752,102.811071610407,103.329506314581,103.736701005382,102.335164835165,101.452433590981,101.898418037659,102.755679506767,102.868046948497,102.817531305903,101.757575757576,103.524845371245,104.895104895105,106.837606837607,108.138593383507,109.841827768014,111.566516151441,111.65245635404,112.245989304813,112.326043737575,112.218370883882,112.58570029383,113.162599652294,115.719257540603,115.262794421938,115.82126649428,117.093730675494,117.827739862567,118.422127622979,117.245916405816,116.286438445237,119.139848923841,119.172229373582,119.572953736655,120.005032712632,121.315640880858,122.532894736842,123.739688359303,124.69691342078,122.727272727273,123.466447097571,125.990491283677,126.223344030505,125.839244688166,128.461003664366,129.417202572347,131.424100156495,134.003831417625,135.239528023599,135.796649029982,139.473684210526,141.304347826087,142.533936651584,141.886490807354,142.126208072769,141.779497098646,141.294145985526,143.513496397951,145.154264972777,146.435452793834,147.586598523566,151.810747663551,153.227707563383,153.523356401384,154.398817345598,154.68896575985,154.538403564774,154.553159085074,154.563297350343,155.310752073236,155.844155844156,157.172271791352,158.982970290649,160.304584802821,160.964519691023,161.732456140351,162.855809612692,163.022605382893,162.843311942699,162.5,162.124898621249,162.893323100537,163.373612978342,164.620889947706,166.051291512915,166.4,166.857415355269,165.947467166979,167.366509103641,166.403760204423,166.410256410256
"Illinois",5,136.884615384615,136.558048649444,136.966737927207,136.84267139106,135.559360730594,134.522439585731,130.856429017578,130.062472151637,126.763050051723,126.417004048583,124.448217317487,120.76626804568,118.450767841012,117.779960707269,118.928571428571,120.051546391753,120.689655172414,120.266133587648,118.859560749547,116.829579260518,115.102639296188,112.5,109.89615149664,108.112980769231,107.485604606526,107.86896661948,108.173076923077,108.9,108.392133899104,109.336250911743,107.221494246545,106.007067137809,105,103.920113114175,103.134935053138,100.694444444444,101.255886970173,103.457540898205,106.060606060606,109.11008054761,111.526479750779,112.559437073395,111.538461538462,111.037037037037,111.031746031746,110.084204673518,108.61801242236,107.591352839142,106.798796441654,109.74605353466,113.636363636364,117.100694444444,120.472159548794,122.161315583399,121.530758226037,121.045918367347,119.700748129676,118.62090599932,117.304347826087,115.326301911668,114.602108197342,117.595727738184,122.111111111111,125,129.163749812481,129.69696969697,128.599703117269,127.066303360581,125.949367088608,125.377649632416,124.197247706422,122.168284789644,121.753246753247,124.973684210526,129.270315091211,132.90273556231,135.010360756017,135,134.049990755293,132.087843785892,131.696428571429,131.09756097561,129.847908745247,126.984126984127,126.99564586357,130.663684212932,134.946677604594,137.709772951629,140,140.924855491329,139.977476425877,138.237717557613,137.507314218841,136.822329575953,135.483870967742,133.181126331811,133.713136729223,138.031205833226,143.953934740883,148.214285714286,149.365942028986,150,150,149.700598802395,149.586776859504,149.190028322805,148.692515779982,146.904315196998,147.568576388889,150.767543859649,153.846153846154,156.365313653137,155.129310344828,154.724789915966
"Pennsylvania",6,121.386430678466,121.534776055125,123.106060606061,122.398769861609,121.855791016927,121.310056978826,120.453715386148,119.342922067861,118.767226259083,117.986111111111,117.109375,115.675500969619,114.895718527209,114.70223325062,115.384615384615,116.212624584718,116.608966686615,116.10803701016,115.162037037037,114.349183667025,112.901307966706,111.835748792271,111.045751633987,109.947643979058,110.150812064965,110.266718651131,111.428571428571,111.762075134168,111.161119393311,111.325245847431,110.463417286233,109.3125,108.274198305255,107.615384615385,107.003891050584,105.861581920904,105.824316146212,107.955783975238,109.645010964912,110.831646423752,113.2,113.567493112948,112.20703125,110.504492052522,111.009174311927,110.008818342152,109.653465346535,110.806324675119,108.937329700272,107.878571428571,110.419681801188,112.570183086312,113.215651371778,113.292011019284,111.974789915966,110.747217986679,110.972222222222,111.213235294118,110.81875,109.413707679604,108.783008036739,109.181342632956,111.857142857143,113.947128532361,115.622417355372,115.065789473684,113.990843659909,112.566860439527,112.359550561798,111.888111888112,111.602406280485,110.049833887043,109.093664746893,109.895833333333,113.040585495675,115.526237294876,116.159188034188,116.184210526316,115.531518652507,114.172941700045,114.130434782609,113.856589147287,113.161559888579,111.722797927461,111.587982832618,113.134057971014,115.341712847312,117.409638554217,119.926199261993,120.37037037037,119.933333333333,119.146722164412,119.2575788097,119.79932885906,119.530312384914,118.140243902439,118.297587131367,120.377604166667,122.881355932203,125.325520833333,126.856060606061,128.428571428571,128.504853876948,127.73851590106,127.551020408163,127.513793103448,127.215486471116,126.6717421647,127.002827521206,127.881978624666,131.691789806593,134.3125,135.900339750849,136.337209302326
"Ohio",7,87.5307125307125,88.3099805459008,88.5711428571429,89.2374517374517,88.5791586409026,88.1399763124583,87.2274143302181,86.7760617760618,86.0444041685546,85.4181558255897,84.9489795918367,82.7655832694376,81.3307493540052,81.3116370808679,81.6659382284382,82.4175824175824,83.4729715275132,83.8414634146341,83.2638888888889,82.9696394686907,82.3489010989011,81.5934065934066,81.0361681329423,79.734219269103,79.2899408284024,79.8821548821549,80.6451612903226,81.4493374902572,82.3039215686274,82.5128276244626,82.201646090535,81.7622950819672,80.9523809523809,80.3279697518221,79.9564558161573,78.4589005098019,78.0874823446328,78.7833135239862,80.2997858672377,81.4814814814815,83.1666666666667,83.438287011034,83.3333333333333,82.7457264957265,82.4420677361854,82.3095823095823,81.7889631486123,80.4416403785489,80.5253623188406,81.7910748808817,83.6381885093829,85.429314830876,86.8421052631579,87.8218943412909,87.4304179329663,86.8156786524133,86.2581796549673,85.6617647058823,84.68557525461,83.5813492063492,83.8311933322398,85.1362862010221,86.6618409873452,88.2741042215626,89.2849378881988,89.7376898297285,89.6104633781764,88.8888888888889,88.4865772523095,87.6639516939286,87.0209059233449,85.6639247943596,86.0610806577917,87.0714285714286,89.0072414514274,91.4126016260163,92.7664903083452,93.6091590632354,93.7148217636022,92.9824561403509,92.5474919246088,92.1607378129117,91.3084187387993,89.9475196596352,90,91.6958041958042,94.3844312969487,96.3302752293578,98.5370051635112,99.2314851472899,99.3024809410285,99.1186674008811,98.6111111111111,98.3606557377049,97.4576271186441,96.3798777621062,96.9094621878381,98.2850077741795,100.435804689607,103.049828178694,104.878048780488,106.420927467301,106.471942446043,106.046676096181,105.42577241899,104.51324456516,103.968,102.829218106996,103.035143769968,104.700854700855,107.632093933464,109.820055923885,110.546875,110.899109593627
"Michigan",8,86.3715277777778,86.2403100775194,85.9707132735002,86.3352188151236,85.8738989306356,84.1472577009767,82.9493087557604,82.03125,80.9254013220019,80.2094738556552,78.8888888888889,76.1432926829268,74.7025480910272,74.6875,74.685534591195,74.6103896103896,77.2202486678508,78.0381944444444,77.9512195121951,77.9772805452259,77.2615894039735,76.2803234501348,75.1576904415332,73.494983277592,72.9195613270316,72.4043715846994,74.5428296438884,75.8398306623831,76.7307692307692,77.8369396926098,78.2738095238095,77.787059967287,77.7777777777778,76.8099547511312,76.6624040920716,75.7094635874878,75.8230641386939,77.0705480694643,79.7720797720798,83.3333333333333,86.7807231015269,89.7187289364485,90.4295403165034,90.3389830508475,90.4642222079439,89.3995098039216,88.6333771353482,87.7712031558185,87.3015873015873,88.1957352333746,90.5730129390018,94.6417445482866,98.2331264718845,99.4285714285714,99.8208125021402,99.2515529110079,98.7646186454474,97.3867595818815,95.5342902711324,93.75,93.8261232572678,95.4545454545455,97.9779411764706,101.356537530266,103.555555555556,104.919016196761,104.923853655001,104.166666666667,103.565862335134,102.161276223776,101.660730428872,99.9473684210526,99.800149775337,100.176860726023,103.537474189408,106.803797468354,109.764730780983,110.972222222222,111.034216687952,110.926163038839,109.917355371901,109.27734375,108.471074380165,106.971153846154,106.825657894737,108.790287487015,111.931818181818,115.424739195231,118.208469055375,120.087336244541,120.097294010337,120.284872298625,120.053199503857,118.975468975469,117.916666666667,116.72038961039,116.5,118.181818181818,120.842572062084,124.314843772711,126.133185656929,128,128.476940382452,128.205128205128,127.301841473179,126.33304046312,125.565259586134,124.496857463524,124.545454545455,125.188841201717,126.518839465279,129.816017316017,131.899826443673,133.25
"Georgia",9,94.0588235294118,94.0671833991513,94.2214111922141,94.5749610074998,93.4938794533101,92.2386284923934,91.456197059741,90.1783947547156,89.694063028815,89.1749296091209,87.719298245614,85.5531335149864,83.9915966386555,83.1661365304624,83.1246436716078,81.9412094605836,82.4711877579329,82.3297714522172,81.8075574600701,81.2017864393017,81.0268249649417,80.3378477891111,79.0045427612088,78.046875,77.6608910891089,78.5698270339526,78.3823529411765,77.7777777777778,78.5722627286209,80.6676631788739,79.6059269699336,79.466791393826,80.1470588235294,80.8876257105378,81.2032203446792,81.4426992437464,81.7610062893082,83.2233741753063,84.2282217575949,85.5943514136304,86.8536853685369,87.5350140056022,87.9241956809167,87.551867219917,87.9245283018868,87.8342029042521,87.3030475606373,86.4718614718615,86.5717821782178,87.6712328767123,88.967803030303,90.728476821192,91.792656587473,91.8958031837916,91.6746872550809,91.45,91.2796090952237,90.8605024051309,90.4204364023417,90.1503759398496,90.0367647058823,90.9931053895502,91.8610603469918,92.534504391468,93.657616209703,94.2170240415854,93.716814159292,93.7458333333333,93.5204809394874,93.5374149659864,93.3036727187138,92.8571428571429,92.820945945946,94.0316646005328,95.9535759096612,97.7475563110922,99.2805755395683,99.6245065259426,99.7920133111481,99.6987126814571,99.5160520995211,99.9480431848853,99.5501285347044,99.1008640024467,99.1647089532759,100.619434765776,102.73729114824,104.757929883139,106.028985507246,106.861682918021,107.372525494901,107.193165440055,107.588235294118,107.859284098829,107.454667562122,107.477922255147,108.155444600429,109.32944606414,111.270362586601,113.619518221124,114.942528735632,115.625,115.880989180835,115.384615384615,115.775401069519,115.981432360743,115.870646766169,115.625498405104,115.862068965517,116.649537265142,118.775995246583,121.314808539478,121.144781144781,121.391076115486
"North Carolina",10,110.574312530815,110.312349154768,110.477453580902,110.383936579121,109.486873508353,108.950886370241,108.390022675737,106.709956709957,105.915691288029,106.203007518797,106.060606060606,104.577656675749,103.49750178444,103.052772466539,103.822185292896,103.716007617689,104.235294117647,104.088941110704,104,103.75,103.422619047619,102.851799906498,102.3988005997,101.851851851852,101.412872841444,101.171698963497,102.227298686465,102.704791344668,102.112676056338,101.851851851852,101.24555488203,101.565806178587,101.201079622132,101.163967611336,100.642673521851,100.29511583939,99.9228087946136,100.619578686493,101.888247234972,102.99531835206,103.484060669316,104.5,103.684590812291,103.526043351666,103.571071428571,103.348159333896,102.682271392866,101.352265043949,101.211923003475,101.573971219725,102.668643439585,103.733370732928,104.59587955626,104.543126435436,104.168983180487,104.499127699128,104.633781763827,104.695981631994,104.304635761589,103.80623222694,103.820758285453,104.971988795518,105.878787878788,107.694238725085,109.747172322023,109.983896940419,110.109239116448,110.013262599469,109.345047923323,109.887718350441,109.489051094891,109.295754026354,110.335104209236,111.86013986014,113.04347826087,114.475627769572,115.018968621399,115.160675855827,115.45636318731,115.327380952381,115.304645737433,115.749618831715,115.158530997361,115.206190094724,114.900711874612,115.923735725938,117.087087087087,119.66969289923,121.058558558559,121.095954844779,121.5,121.010004764173,122.039749596958,122.715404699739,122.769753610875,122.643614054657,122.972047917855,123.62302114833,125.673249551167,126.874625074985,127.227272727273,127.969561989607,127.794292508918,127.697504335143,128.613424791769,129.006526468455,129.231568016615,129.390018484288,129.383561643836,130.425824175824,132.352941176471,134.191176470588,134.60330312759,135.125337837838
